# SNRtot_MF, evidence220_221, evidence220, nofilter]
2.964249602756938717e+00 -3.615530296582186907e+02 -3.638166831721900394e+02 -3.659022554912172609e+02
2.773941640230909655e+01 -3.762650324501614136e+02 -3.755764411287477742e+02 -7.533505161163570847e+02
5.118714255844643013e+00 -3.701034045359672291e+02 -3.718673952392435353e+02 -3.811029557705877551e+02
1.204384360402375798e+01 -4.006480193741335256e+02 -4.025011130677997357e+02 -4.727494933330667664e+02
4.332398676014300953e+00 -3.645020952983470579e+02 -3.642658368459233884e+02 -3.722863479133098394e+02
3.697652523496597610e+01 -3.857423875414069130e+02 -3.867887096094491426e+02 -1.064054919702860161e+03
9.286335360417325546e+00 -3.698537890715119261e+02 -3.702584056634798912e+02 -4.104188892228059444e+02
3.572740143947212488e+01 -4.171496889462193280e+02 -4.188963535890237040e+02 -1.052474218188095847e+03
1.036162058969290101e+01 -3.856539087953761396e+02 -3.866204674128692318e+02 -4.371236020715363111e+02
3.595282048818237541e+01 -4.085118945759604117e+02 -4.051818205397613610e+02 -1.042382069184992361e+03
6.902754048286380062e+00 -3.882986947341909740e+02 -3.904030247259869952e+02 -4.113519771218677192e+02
3.186782457964850579e+01 -4.168697562272676009e+02 -4.155392150842188812e+02 -9.155302051906904808e+02
6.531382903744622048e+00 -4.071179899259422541e+02 -4.112438235022166850e+02 -4.316721430242852193e+02
1.615680052928384569e+01 -4.100465768370727915e+02 -4.112839433177777551e+02 -5.358183265145900123e+02
4.841875009570330946e+01 -4.037743992890704590e+02 -4.029900295550782516e+02 -1.566605459860867313e+03
2.580247891866971699e+01 -3.874356877915226960e+02 -3.873075729858123850e+02 -7.137111626231517221e+02
1.084063403311912488e+01 -3.969613984635361703e+02 -3.990990494248417804e+02 -4.565552863548627442e+02
3.967775476735156559e+01 -4.051442876394329460e+02 -4.045276512285981312e+02 -1.185909353004076593e+03
4.939706782684955222e+00 -3.818303303795103716e+02 -3.836419902471478736e+02 -3.947098409422784471e+02
9.443316638698838972e+00 -3.876207155921999288e+02 -3.862069238416791563e+02 -4.280756241761066008e+02
1.620662851307819352e+01 -3.771730328343146539e+02 -3.759722876566901846e+02 -5.002297561748424641e+02
1.870000466181611998e+01 -3.731438921546202323e+02 -3.752614102687007858e+02 -5.463026031166497205e+02
5.109222947709668006e+00 -4.239385636715896339e+02 -4.260985760159661595e+02 -4.344735557995168733e+02
1.193775055951542186e+01 -3.983033679741702713e+02 -4.008394034317776686e+02 -4.692478377922512891e+02
3.657761923452383712e+01 -3.871326932598048529e+02 -3.887105818347094441e+02 -1.053986264974797677e+03
1.456674544464967980e+01 -3.650124281410335811e+02 -3.656018543942412293e+02 -4.673233627262075629e+02
4.717496445720921194e+00 -3.986432580745425298e+02 -3.989675265054654574e+02 -4.066064053880752454e+02
3.491648069544249466e+01 -3.755718530428515010e+02 -3.755028245931398487e+02 -9.786827143897897940e+02
3.272034162059762963e+01 -3.951591178474171215e+02 -3.963276627854776848e+02 -9.262118030618395323e+02
5.956899303740775586e+00 -4.103291045123099252e+02 -4.134298549712262911e+02 -4.261379864070007670e+02
4.776876736195523776e+00 -4.189484874271920489e+02 -4.196318866483692887e+02 -4.292539945753600250e+02
2.121034758607109438e+01 -3.982313067728962892e+02 -4.009302659669617697e+02 -6.218936667217683407e+02
2.060230407901467231e+01 -4.073242717681723661e+02 -4.064297704334342143e+02 -6.113761715820050995e+02
1.360889505413989120e+01 -4.058886296869056878e+02 -4.077562338533472825e+02 -4.967965894317942457e+02
9.521188430072358599e+00 -3.946489614953234195e+02 -3.951810801791635299e+02 -4.387360149103842559e+02
1.017188211887801330e+01 -4.224104352098034951e+02 -4.229333470901832470e+02 -4.690729498435946994e+02
3.075417903207549841e+01 -4.094000000925752261e+02 -4.065591482492384330e+02 -8.733447405823567351e+02
5.578720503706728451e+00 -3.841106306249246813e+02 -3.865970947283426540e+02 -3.996522544568249486e+02
