# SNRtot_MF, evidence220_221, evidence220, nofilter]
1.318961500110378537e+01 -3.582599960729363033e+02 -3.607485979483939218e+02 -4.439270990586344396e+02
1.977286070536694140e+01 -3.729761601904938288e+02 -3.722336412646059216e+02 -5.640370039232564068e+02
2.651025206846118820e+01 -3.945314920777731800e+02 -3.956261459863832783e+02 -7.398634437118096230e+02
1.994681378018486484e+01 -3.779175138844640287e+02 -3.776675273562955795e+02 -5.716580540559475594e+02
6.319593210100779679e+00 -3.634419397462410757e+02 -3.655219417057617193e+02 -3.806592220382684104e+02
3.111929127481356616e+01 -3.494423184546888024e+02 -3.534276582754047809e+02 -8.329216007129800801e+02
3.314280419558808433e+01 -4.046252801399955388e+02 -4.044129426938292227e+02 -9.474983175477309487e+02
2.394666298899624479e+01 -3.660574486136964083e+02 -3.662599318965692419e+02 -6.483847496172792262e+02
1.657516666719461895e+01 -4.073932672114145248e+02 -4.069135281818647627e+02 -5.400611664401241114e+02
2.336105860366515330e+01 -3.882086981521573534e+02 -3.906069944857001133e+02 -6.605502170661020500e+02
1.037330695181696427e+01 -3.806923941613171110e+02 -3.794075281968979425e+02 -4.255612918129302784e+02
1.559373398082115614e+01 -3.827157306097703326e+02 -3.820245503304198564e+02 -4.989831906789150366e+02
1.359092226422041527e+01 -4.252202504044254852e+02 -4.269245843576202901e+02 -5.123086607821084044e+02
2.233655856276674001e+01 -4.117103687831697130e+02 -4.131220192502678401e+02 -6.591288245676638553e+02
1.480674535135056757e+01 -3.991787525305622921e+02 -4.012992457505045536e+02 -5.091028061139719512e+02
7.647941938420498076e+00 -3.882377979485085575e+02 -3.889881375328154149e+02 -4.162396696692557612e+02
2.128223502238131104e+01 -3.741192922663684612e+02 -3.728504174184083126e+02 -5.953707199245552601e+02
1.036454228233123054e+01 -3.722360964545170532e+02 -3.720842008601232465e+02 -4.195340051535209227e+02
1.886930662326708230e+01 -3.653638506176433793e+02 -3.655715932072038186e+02 -5.390003600099568075e+02
1.079779479863316283e+01 -3.981873107819289999e+02 -4.009019331440978249e+02 -4.546073055305269008e+02
1.828223691408193119e+01 -3.624092232421043036e+02 -3.620655424094167643e+02 -5.228753525396731447e+02
2.080275677762157827e+01 -3.577125606985384252e+02 -3.545561739785543409e+02 -5.653706836082205882e+02
1.011380952822815260e+01 -3.889415069154607068e+02 -3.877434794914656777e+02 -4.396982392171713059e+02
1.836898880591773420e+01 -3.933395971581949766e+02 -3.934670655942100552e+02 -5.579418979311577687e+02
1.938477900246534702e+01 -3.897126805958981777e+02 -3.877821333841561682e+02 -5.692797091795201823e+02
1.671915815064578936e+01 -4.059789010272116911e+02 -4.067500833919153251e+02 -5.436139297182417067e+02
