# SNRtot_MF, evidence_inj, evidence_filt, nofilter]
6.078218665979646573e+01 -2.767390208059910606e+02 -2.757396328118652491e+02 -2.115681680512813728e+03
7.286291741695337976e+01 -2.639578345252584768e+02 -2.609827520755007413e+02 -2.906563711333476931e+03
5.928663600731843530e+01 -2.795144736151140705e+02 -2.785445085030852397e+02 -2.027458943103345973e+03
5.867785071564232169e+01 -2.489144177852184896e+02 -2.472272624691923113e+02 -1.956395466809163054e+03
7.151729439468846294e+01 -2.275477161327461886e+02 -2.256994384152736188e+02 -2.747654663379430076e+03
5.668481138764357041e+01 -2.322426323463518258e+02 -2.283113185704335137e+02 -1.830460617843811178e+03
6.577985360361373068e+01 -2.036774692054065099e+02 -2.018795989967423168e+02 -2.348381616540887080e+03
5.104145083634650604e+01 -2.605814451912751792e+02 -2.584607550792392203e+02 -1.555811793582031669e+03
7.747740239442507004e+01 -2.996076339028911093e+02 -2.964198426192335774e+02 -3.286960605184648102e+03
4.974726660951171908e+01 -2.563397440148046940e+02 -2.528892254368035140e+02 -1.482895827135758964e+03
6.482693201222888035e+01 -2.556345027038099147e+02 -2.517882074758746853e+02 -2.337159624665931005e+03
8.115628498959031845e+01 -2.665477078778229156e+02 -2.663508817123662880e+02 -3.464500943453263517e+03
7.005947050143477384e+01 -2.417491914861108455e+02 -2.384491841493116624e+02 -2.687478304340756949e+03
5.968350495097180186e+01 -2.901672819182274452e+02 -2.889049766107003165e+02 -2.060042721070483367e+03
6.071914443103019465e+01 -2.166219022806105841e+02 -2.152785401686428770e+02 -2.046339591590356804e+03
6.002509318691286921e+01 -2.420359445870620050e+02 -2.390458699941554528e+02 -2.031980532775076654e+03
7.464140733228755664e+01 -2.139132975512436019e+02 -2.080697121279841326e+02 -2.944105349760998251e+03
7.156214560701351957e+01 -3.411753283496032054e+02 -3.379817199354040440e+02 -2.894203068009930575e+03
5.504037938048695366e+01 -2.621507287990463624e+02 -2.591411635144460206e+02 -1.767637233577258939e+03
7.787318586260140307e+01 -2.356947845698265382e+02 -2.349588162101492514e+02 -3.232247664284413986e+03
5.868109931662980472e+01 -2.589475283555145211e+02 -2.556537361096567906e+02 -1.971800252852840231e+03
5.237376054954789595e+01 -2.788563936806972947e+02 -2.757492327185349268e+02 -1.643454052648566176e+03
6.483494798670210457e+01 -2.482424387423934888e+02 -2.451647587158043109e+02 -2.325673317057713575e+03
5.775793554592566181e+01 -2.356045080249571981e+02 -2.325149859370237948e+02 -1.884381256122444029e+03
6.721136017813759622e+01 -2.416034770896210091e+02 -2.389844658728971183e+02 -2.459241747491399565e+03
5.651049241361721442e+01 -2.693490187313903448e+02 -2.661561436620655741e+02 -1.860427935068278202e+03
7.057709847908286349e+01 -3.286748923753845020e+02 -3.255287152707205109e+02 -2.810164425713897799e+03
6.210908093268063368e+01 -2.561516066337867414e+02 -2.535255042264619760e+02 -2.177732412188233866e+03
6.971443170398266886e+01 -2.367938808738687442e+02 -2.332445022658257301e+02 -2.651259164350969513e+03
6.473716586320919930e+01 -2.248875081267093208e+02 -2.206925822466886302e+02 -2.293061032659451485e+03
5.330107121121737634e+01 -3.108226128500703567e+02 -3.081308161997573620e+02 -1.725435526840439024e+03
6.406926859767381188e+01 -1.983450614518997952e+02 -1.968894834632370419e+02 -2.193689793266270499e+03
5.743024219557943155e+01 -2.103107188119094815e+02 -2.097873561533601219e+02 -1.845521059207177814e+03
6.263781913704814031e+01 -2.511720834696490954e+02 -2.478799088893631506e+02 -2.203196613539615100e+03
7.331156961332281696e+01 -2.337978924823096634e+02 -2.254979874446114820e+02 -2.856926568909605976e+03
5.698202256627051554e+01 -3.391682328750613351e+02 -3.360014877319441098e+02 -1.954765514351268848e+03
7.842412573798901576e+01 -2.803584138425500782e+02 -2.796929050979821909e+02 -3.209389309060935375e+03
