# format=SNRtot_MF, evidence_inj-nofilter, occams, mass_in_solar, chi_inject]
1.921599982019395156e+02 1.845370117114985987e+04 6.066958897147576831e-04 9.001128861315386587e+01 6.024311244755897743e-01
2.637940665405183154e+02 3.478293101333833329e+04 8.036338225017470444e-04 1.105852640138769374e+02 2.607329705124981079e-01
2.354669939107158712e+02 2.771373948921899864e+04 2.541134616606314809e-05 5.128577901816520068e+01 8.516009700706858032e-01
4.540364015686713373e+01 1.022915582698560229e+03 1.229909154437456263e-02 6.932775732535495194e+01 3.843387554128757655e-01
7.003931709728189503e+01 2.450226369758481269e+03 3.792643415284924560e-03 3.391227825484850911e+01 1.747980912777873097e-01
3.643567154448629708e+01 6.585057529693583547e+02 5.584143319992376960e-03 4.792619405765309182e+01 4.656031255617383291e-01
3.439798527095826444e+02 5.914809153344139486e+04 1.588209135378946713e-05 1.199810506430132051e+02 9.332000889814769939e-01
2.801715259154492443e+01 3.869026897092031732e+02 1.838828536941744529e-02 7.525042513836940827e+01 6.694067310681091065e-01
1.436147492653901452e+02 1.030095198969199555e+04 1.083158630328441650e-03 8.638297735280639245e+01 2.059682517304204374e-01
2.189598672275851641e+02 2.396404580945588532e+04 9.370433898735785506e-04 1.017545208750901793e+02 2.051300345311779794e-01
2.204994967657986393e+01 2.383601781678617613e+02 2.631662537322914525e-02 8.601695768064067238e+01 6.049548430208877559e-01
4.206957971015962698e+02 8.848321008082713524e+04 1.429388221841052008e-04 9.882521346296289266e+01 5.440950099921647576e-01
4.857111214164330448e+01 1.176944992681914755e+03 1.415411981449717256e-02 1.063642220279405564e+02 5.181844472579638650e-01
1.490852937291367937e+02 1.110884262697570921e+04 2.350549520360841122e-04 4.807119595565295356e+01 5.888022726934195594e-01
1.050886023162384504e+02 5.515764514803756356e+03 4.358045867479829784e-03 6.327887157102822613e+01 2.411091769875678414e-01
1.123873078146613409e+02 6.310752877116632590e+03 2.534781780064799053e-03 6.016049748554348753e+01 2.077957072879410474e-03
5.032759797542251334e+01 1.263306656596340190e+03 7.448700844927260041e-03 4.558242275308916192e+01 6.161764206849525832e-02
2.688950414646599825e+02 3.614099194823284051e+04 2.858776443682104016e-04 1.024600108858510765e+02 5.763152315549774363e-01
7.619066007145626429e+01 2.890999496989480576e+03 3.894288799949177302e-03 3.759275973981573316e+01 3.828036543703013383e-01
2.566522620125973617e+02 3.292423138965498947e+04 2.223492789530525331e-05 7.050704112194188156e+01 8.780710405794509565e-01
1.672481329440874163e+02 1.398122182145859188e+04 5.101327742837176438e-03 1.083312443015475708e+02 2.625103981355692562e-01
6.236540570435415987e+01 1.938235932323530506e+03 1.639031827711073070e-03 6.780551098889831962e+01 7.196795705867978787e-01
3.586094254211755015e+02 6.428770437224712805e+04 2.858776443682103948e-05 4.492301127866496557e+01 7.329273052311582326e-01
1.621342398108816667e+02 1.314491585581508662e+04 3.929229400927514507e-03 6.213274373092429670e+01 1.302064997015413561e-01
1.632321355824185503e+02 1.331301263744261450e+04 7.115176926497681058e-04 6.042762514063208812e+01 3.263106051943224784e-01
1.295872981186721518e+02 8.388162254004933857e+03 3.192300362111682999e-03 7.614928432337455888e+01 3.519786229984179782e-01
1.251924363166017713e+02 7.827514337151588734e+03 1.270567308303157371e-04 7.869043941826842570e+01 7.662193864374288177e-01
1.765446871121842207e+02 1.557353024016612471e+04 6.988120195667365132e-05 7.436206664443437830e+01 8.344487439733280221e-01
1.544072952236772380e+02 1.191258558875281597e+04 3.589352645956419511e-04 5.237653361019437170e+01 4.800726921703138972e-01
4.109539655963139921e+02 8.443286328723892802e+04 3.970522838447366749e-04 7.082116739840466835e+01 1.919439066498011826e-01
1.391497202821861094e+02 9.675441823840812503e+03 5.501556444952671390e-03 1.112669190009808062e+02 2.336386388786277357e-01
1.115912635010108289e+02 6.225177892188562510e+03 4.002287021154945731e-04 4.174282252588778874e+01 6.462896147855189399e-01
1.009858013762284230e+02 5.092748985052264288e+03 3.656057429642335481e-03 7.686662946825066456e+01 2.509742572500542890e-01
4.320673168574485885e+02 9.333103808255915646e+04 8.671621879169048993e-04 6.413959441243012805e+01 3.277356331220098729e-01
5.848540917169314923e+01 1.705991865344199368e+03 4.713804713804713512e-03 6.554844237304018861e+01 2.174158556524229402e-01
5.729356885240386532e+01 1.633289511146504537e+03 2.572898799313893723e-04 1.186948905326804891e+02 9.322610070040926455e-01
5.140396870104588345e+01 1.315312376717596635e+03 5.870020964360587144e-03 5.587914607112482912e+01 6.175071294751637296e-01
