# format=SNRtot_MF, evidence_inj-nofilter, occams, mass_in_solar, chi_inject]
4.181590326718354049e+02 8.742432187935069669e+04 1.221015183279334192e-02 8.072139720280179631e+01 2.508810624937799494e-01
1.600834345750421335e+02 1.280512550551251479e+04 8.560447239692523316e-03 5.358197622116453829e+01 3.954294021618231514e-01
4.120739377887706922e+01 8.444697517635527220e+02 8.237087859729369521e-02 9.784544661397244170e+01 8.145743276094670471e-02
1.406870205020107107e+02 9.890807965797024735e+03 1.407470935772822500e-02 8.849775738617174170e+01 6.673259058999926330e-01
1.961679150376624818e+02 1.923472932364684311e+04 1.106664125532050118e-02 7.886868900594024012e+01 4.515354468335620597e-01
1.836860811366505857e+02 1.686676866632231395e+04 2.006543421637761379e-02 7.501038868672543458e+01 3.533045006502954499e-01
2.612698325134781996e+01 3.348285378130459549e+02 7.658344450797280670e-03 6.638652333597940469e+01 7.044667231728432011e-01
3.813898917800588038e+02 7.272376276953618799e+04 1.044723969252271158e-02 1.023160548475347866e+02 4.039332977653775081e-01
3.753529372723672708e+01 6.996104983419069185e+02 3.191347436630455336e-02 3.158810693799813762e+01 1.111235490370641593e-01
2.096222511465271054e+02 2.196696254545103875e+04 6.562480147385807427e-03 7.183833810404178166e+01 4.775062994899988422e-01
1.348664498086889125e+02 9.090147416969724873e+03 3.381614891048853599e-02 1.185478930172493648e+02 2.370749936282903203e-01
1.604534308066232313e+02 1.286692020101762137e+04 2.222857505876373735e-02 8.146991301453721235e+01 3.961226712413262185e-01
1.380341098743940336e+02 9.519513094856420139e+03 6.988120195667365132e-05 5.328062902753876529e+01 8.104825177535351921e-01
3.305694804082155969e+01 5.441428296274611967e+02 6.068864748110031071e-02 9.693502238884833844e+01 3.200478271919302564e-01
1.756221759434256739e+02 1.541021947280419590e+04 2.255256972238104448e-04 4.727856498092477011e+01 8.251931129625840189e-01
2.466494679212724606e+01 3.005436138620129327e+02 3.481036782923575129e-02 3.111837931576361882e+01 4.499933277674261767e-01
1.155016882453533498e+02 6.658258010821274183e+03 6.257543993393049637e-04 4.644651228481541239e+01 6.334988448367366853e-01
2.232854980197562256e+01 2.434556078229912828e+02 1.164411409694428579e-01 1.105337850711996737e+02 1.008115881761655203e-01
7.477749944111887714e+01 2.789848872745375957e+03 1.014547995680071223e-02 1.112003206958922448e+02 6.303553413215531309e-01
3.728093576017148507e+02 6.948760568145547586e+04 1.263261546280414205e-02 9.599642321001138612e+01 4.593667667641964658e-01
8.019944693277135173e+01 3.212361416159853434e+03 5.237913728479766384e-03 1.086852640279004873e+02 3.849781737295819295e-01
7.990637810566482813e+01 3.187517692632997750e+03 4.389810050187408982e-03 1.017915601699245514e+02 6.422384604359436810e-01
1.264300631039121292e+01 7.815945974216583636e+01 5.467251127628486307e-02 1.098924872469082743e+02 2.896148981043648041e-01
7.287349195567679772e+01 2.649659484900564166e+03 1.183851089511466816e-02 5.370961288022230917e+01 4.065479547180145814e-01
2.441725104651091556e+02 2.980243151444937394e+04 8.004574042309891462e-04 6.885876988122362263e+01 6.789596331567673282e-01
2.025059991919586082e+02 2.049949644163407356e+04 1.106981767359125832e-02 5.876203930004845688e+01 1.128324406715072448e-01
1.303233805990984422e+02 8.488003351915980602e+03 3.744997141223556196e-03 5.370370768115061821e+01 6.343669543064731631e-01
3.101705475210129634e+02 4.809295837768218917e+04 1.143510577472841579e-04 7.160043896451358592e+01 7.843620293002030452e-01
3.000989364869712972e+02 4.502215385696034355e+04 6.371895051140333971e-03 9.834494965354899421e+01 5.691279391408671229e-01
1.589669306023836555e+02 1.263062242503973357e+04 8.328568705927196641e-03 4.105259119984773974e+01 4.218354868309540651e-01
3.191254787361166336e+02 5.091376156746131164e+04 9.751604091226733287e-03 6.286170989151234778e+01 2.154743545224763190e-02
7.906908595063514156e+01 3.114298927758168702e+03 1.302331491010736298e-03 9.847113080657685202e+01 7.475951031656544732e-01
2.540596351220390829e+02 3.226568288904653673e+04 5.063210723588082093e-03 6.161349007549046064e+01 4.183223817247788689e-01
8.053747603572905689e+01 3.237055615617586682e+03 3.748173559494314203e-03 9.993974212838044480e+01 5.379821058898042185e-01
1.550949029292663397e+02 1.202347839351249604e+04 3.214535290006988177e-03 8.603148203545677575e+01 5.874819543631822905e-01
1.542948165441982837e+02 1.189505326337664337e+04 1.556444952671367664e-04 4.351963328703190115e+01 8.629345732925278734e-01
3.888748606851244460e+01 7.572260531046135839e+02 3.811066641255320825e-02 7.063902215324802114e+01 2.409416959718531925e-01
1.565657277061301613e+02 1.225071476141574567e+04 9.529254812273679602e-05 5.789589648066032623e+01 8.120472589515629336e-01
2.240761652853803412e+02 2.510022513400073149e+04 3.255828727526840528e-03 5.143011251512685078e+01 5.163553666286558874e-01
1.673994326008142934e+02 1.400591300172415322e+04 1.647608157042119298e-02 6.129646475643318837e+01 2.366798857304252268e-01
2.497946575365367607e+02 3.119212823615580419e+04 4.288164665523156024e-04 9.023815169903194544e+01 6.897367467828904308e-01
5.401537299621486454e+01 1.453977916291322117e+03 6.956356012959786367e-03 7.219386498458426615e+01 7.351319074918870600e-01
1.702187215772368063e+02 1.447404937116229667e+04 2.223492789530525331e-05 4.375934776752097832e+01 9.157560372826378803e-01
4.462458116546380182e+01 9.910839911828416007e+02 1.196239120767422608e-02 8.031763481568408736e+01 5.417291550588267945e-01
1.000538755807463076e+01 4.595783430923552260e+01 1.902642780001270462e-01 7.467532734951767281e+01 8.338640068626192170e-02
4.172341330127304104e+01 8.583757843502933156e+02 2.496664760815704362e-02 7.978155665842427879e+01 4.104308275503170123e-01
2.389255599759576754e+01 2.782731033682624115e+02 4.523219617559240055e-03 6.858429942137523483e+01 8.040455753708589670e-01
1.980522087996803293e+01 1.951191161171066142e+02 6.616161616161615744e-02 3.789865129680340772e+01 1.713352729438942512e-01
3.636168145294934817e+01 6.603047147459215012e+02 4.115685153421002468e-02 4.813962583584832089e+01 2.722499332021403595e-01
1.446194805829249503e+02 1.045180928138097079e+04 2.249539419350739949e-02 7.995798582678455091e+01 2.640747656554324752e-01
5.092315836260738848e+01 1.293377721219415434e+03 5.482497935328124045e-02 9.206042509592833767e+01 4.907208918512154794e-01
