# format=SNRtot_MF, evidence_inj-nofilter, occams, mass_in_solar, chi_inject]
1.482445780111301588e+02 1.095972911653007031e+04 1.111746394765262733e-04 5.610076430555618288e+01 8.152145323167103719e-01
1.237939975477847838e+02 7.624648584772101458e+03 1.207038942887999543e-04 3.299973350377911885e+01 5.159801296454363806e-02
1.401636952445114837e+01 8.972251977681003154e+01 2.535734705546026369e-02 4.911522534689778752e+01 4.561920630021781831e-01
1.841408420845863247e+02 1.682155461617909168e+04 5.717552887364207897e-05 7.317206728582988262e+01 7.554426174495827706e-02
8.775837888677830279e+01 3.800934008762689700e+03 1.416682548758020415e-03 5.759895714738225081e+01 3.406989710106726049e-02
1.961264776032663448e+01 1.856507041214308060e+02 1.738136077758719103e-02 7.399382008567553726e+01 3.659356309544178898e-01
8.102651765862171374e+01 3.263719040798878268e+03 4.605806492598945299e-04 3.583220538370301256e+01 7.271024992928069031e-01
1.127706901306700473e+02 6.331292936432041643e+03 2.509370433898735759e-04 3.263379051415771670e+01 2.892972079991487644e-01
2.122468518190445366e+02 2.245765641822143880e+04 5.082269233212629618e-05 4.594951881225880186e+01 8.622484966200228973e-01
1.765851561289829021e+02 1.551264249506655869e+04 8.576329331046311506e-05 5.946166275740948493e+01 2.887525890899299008e-01
1.107493003166052006e+02 6.089897586617658817e+03 9.148084619782732635e-04 7.858277542199084564e+01 7.050972241412976904e-02
7.199591104390341911e+01 2.564760737666508248e+03 5.272854329458103373e-04 4.737827983272219257e+01 1.621505313712360563e-01
1.353707614867636835e+02 9.119719516131319324e+03 5.622260339241471087e-04 1.105653057565605195e+02 5.061825296269525376e-01
4.947726855578960681e+01 1.208228147421776157e+03 4.415221396353471951e-04 5.568191570329216233e+01 9.302447450313545696e-01
6.390596174281195374e+01 2.031690004791939373e+03 2.642780001270567374e-03 6.789666478962098495e+01 4.306515377203531392e-01
4.583701680072415741e+01 1.039746962333311103e+03 8.655739787815260045e-03 1.096082948505642776e+02 5.071316529729277267e-01
7.607595841398853054e+01 2.866991212768158221e+03 3.360650530461851276e-03 1.002656755013200325e+02 5.384256249577903386e-01
4.196567695515343388e+01 8.559969394828883651e+02 5.317324185248713947e-03 9.308033196770901441e+01 1.283569701744023128e-01
7.084146473565419910e+01 2.484231644056200821e+03 9.306905533320627543e-04 7.310143647443408099e+01 7.806586599145427519e-01
2.143517867339181038e+01 2.233145683042888550e+02 6.222603392414712865e-03 5.128847125728150047e+01 6.624366032970445684e-01
7.591389051750249450e+01 2.872589073898266179e+03 2.960421828346356758e-03 8.010876950226418103e+01 2.838164460543175505e-01
1.119261540730819604e+02 6.229931914038806099e+03 1.461152404548630990e-03 9.302812707377216839e+01 7.595663906088526152e-02
1.035206646600652647e+02 5.312493274171429221e+03 1.588209135378946645e-04 5.057793144846399969e+01 2.300627713811260744e-01
2.422132908962850877e+02 2.905317168287688401e+04 8.893971158122101323e-05 1.167456799948880217e+02 1.690182080482943439e-01
1.151297639999233091e+01 5.802187812452643811e+01 7.439171590114986021e-03 3.547468968661635813e+01 8.086160999996462317e-01
1.295609723083162521e+02 8.354429529402072149e+03 1.095864303411473242e-03 1.080191346436256623e+02 6.336084667861695552e-01
3.638336213147497489e+01 6.549501570874531353e+02 2.674544183978146139e-03 3.356515089031312726e+01 4.799725570922830364e-01
1.305773243158956802e+02 8.386226679407507618e+03 4.446985579061050662e-05 5.172982459074977157e+01 7.719852924216490386e-01
1.414696509164073746e+02 9.943534677688774536e+03 1.524680769963788953e-04 9.560829491854327955e+01 1.219780619965521729e-01
1.159112327726014655e+02 6.676246249604633704e+03 4.637570675306524281e-04 4.728868689192754005e+01 2.043546150292930574e-01
9.089057889721061656e+01 3.990053791715869011e+03 2.509370433898735759e-04 8.236013050322107176e+01 6.236473507972858377e-01
5.707966314798051144e+01 1.607294502644795557e+03 3.185947525570166985e-03 1.120510350149125998e+02 3.917943741564718363e-01
9.114552876855370300e+01 3.955728149865987234e+03 4.732863223429261226e-04 9.930736464647101513e+01 5.846132498375514741e-01
5.306418811544467218e+01 1.389670944234601393e+03 4.446985579061050933e-04 1.088838360623172719e+02 9.124669420277145004e-01
1.433199190235392564e+02 1.019970329492821111e+04 6.130487262562734794e-04 6.697025775103158196e+01 2.190877718145169961e-01
1.052134324752299399e+01 4.594352601444597894e+01 2.277809541960485254e-02 8.049074541083453482e+01 6.269194522039678308e-01
2.573726248856252710e+02 3.293401619628044136e+04 2.541134616606314809e-05 7.464304815894286094e+01 1.869981610395235194e-01
1.138591183698228377e+02 6.412842485288570970e+03 4.129343751985261658e-04 1.116497579314341948e+02 6.145107226634181075e-01
2.168408630992029771e+02 2.344965375837629836e+04 1.937615145162314902e-04 8.830233901113300021e+01 4.876316597676245701e-01
1.535628960098254758e+01 1.135121811057278478e+02 5.627977892128835369e-02 1.034525099293143313e+02 3.221612338256440444e-01
8.332938922370105672e+01 3.447103098621359095e+03 7.051648561082523095e-04 3.583972313195903325e+01 5.554475976268629100e-01
1.881264835354443790e+02 1.766475200164083799e+04 9.846896639349469419e-05 6.628649588223629507e+01 3.053893893385917768e-01
1.690858018988274409e+02 1.424328712634345175e+04 9.846896639349469419e-05 5.512155976065176333e+01 3.139084316188388568e-01
1.514085230507392339e+02 1.133938710782469025e+04 8.258687503970523044e-05 7.299082156573931002e+01 2.154477216986793175e-01
6.398780596927967679e+01 2.025565430177193548e+03 1.750206467187599181e-03 8.341727682388565768e+01 1.731209534007348283e-01
3.930643404201029512e+01 7.548565005018682541e+02 1.864557524934883515e-03 4.258024211902757372e+01 5.011632305838337187e-02
1.520437735341965606e+02 1.147483207579727241e+04 6.225779810685470655e-04 5.901683332017100270e+01 3.725266699283345528e-01
2.991327771510989919e+02 4.440495201086357702e+04 2.541134616606314809e-05 1.123486181304550655e+02 3.770246094585132379e-01
3.662766151918854973e+01 6.638168580682006450e+02 4.180166444317387486e-03 4.288717190697251880e+01 3.409120763726543046e-01
1.193355946271729273e+01 6.701257992266022256e+01 1.716536433517565699e-02 3.361777655498634232e+01 2.465163847026513588e-01
9.740480088680224924e+01 4.707493595955822457e+03 2.572898799313893723e-04 4.564051239520757974e+01 6.130245463535810568e-01
2.220848375200955047e+02 2.456085456319027071e+04 7.941045676894733227e-05 1.022345430331972409e+02 1.598185738217881013e-01
8.307926621250769017e+01 3.433866234398682082e+03 2.118670986595514935e-03 1.169542823631803543e+02 7.303219260568818427e-01
1.942778240355136745e+02 1.881698515798238441e+04 5.749317070071787014e-04 9.626314632296262630e+01 3.686777873968665742e-01
2.049209694197533622e+02 2.081183355369949641e+04 1.842322597039578228e-04 1.185033873491568528e+02 7.092547323318533214e-01
1.467501553394979226e+02 1.067448498512762671e+04 1.143510577472841579e-04 6.609900606231278175e+01 2.746055708526174421e-01
1.019564146137506242e+02 5.025920566181731374e+03 1.616796899815767675e-03 9.931767300192078096e+01 3.217235210619171504e-01
2.843655158905447138e+02 4.022432111505720968e+04 3.494060097833682566e-05 1.188878299727565775e+02 3.062121974861415352e-01
2.062566294405082346e+01 2.097070724361304315e+02 1.802617368655104468e-02 9.293900187192929252e+01 5.271229261297610824e-01
2.577088245229168137e+02 3.307690872382311500e+04 1.588209135378946713e-05 8.733681817418406013e+01 9.250105833668416100e-01
1.481743801679317301e+02 1.091114547268343085e+04 1.905850962454735920e-04 1.078346619216675748e+02 3.749050669965902083e-01
1.290566010377795578e+02 8.312789147964249423e+03 4.510513944476208896e-04 7.478684690445851402e+01 5.235002669482660131e-01
1.866510994427893309e+02 1.728157403563424305e+04 3.176418270757893426e-05 4.926315716786963606e+01 1.855613724553148436e-01
5.166493568646098566e+01 1.317290838074977728e+03 4.675687694555619167e-03 1.100308641988670360e+02 2.370293019921951294e-01
6.784162457164194393e+01 2.290597922535711405e+03 2.439489231942062325e-03 1.021352507244351955e+02 4.092457629719339907e-01
1.308664487644069254e+02 8.509655494082027872e+03 6.384600724223365564e-04 5.169757758293775396e+01 6.905776822862063069e-01
3.281558974021866959e+01 5.289170236644736178e+02 9.881837240327807220e-03 5.500277850826445558e+01 1.220025104484773193e-02
2.149596317094471587e+01 2.240692159624292685e+02 1.777206022489041456e-02 8.502730496236526392e+01 1.980787844408180010e-01
2.185669793535464294e+02 2.382943708017936660e+04 1.365859856425894045e-04 9.252840684092024048e+01 7.371676579588790079e-02
8.121551372994832718e+01 3.155269419764282702e+03 8.385744234800838158e-04 1.049681056850217544e+02 3.716393646797814254e-01
4.787427984932328684e+01 1.136663509277763751e+03 4.075344641382377606e-03 5.469561108268518979e+01 5.704984654675586686e-01
7.547637715011028092e+00 2.206341695525213709e+01 4.775427228257417278e-02 4.061874121161874029e+01 7.932456984446963066e-02
