# format=SNRtot_MF, evidence_inj-nofilter, occams, mass_in_solar, chi_inject]
8.155102377960147919e+01 3.315669261480689329e+03 2.318785337653262140e-04 5.553659703879087317e+01 8.175798074299228668e-01
3.057419453246675403e+02 4.672766651566129440e+04 1.588209135378946645e-04 1.163356231377081684e+02 8.239905662978816991e-01
6.783213994706263072e+00 1.992947121578873748e+01 1.911886157169176148e-01 4.043570234764175098e+01 6.468225313512782071e-02
2.745416489537572033e+02 3.767279157640497579e+04 1.270567308303157404e-05 8.154016770878246234e+01 9.314835835634132089e-01
4.750268331524630128e+01 1.120365931743185456e+03 2.112318150053998922e-03 7.194656035182725873e+01 6.839820170846634406e-01
1.536855104510444114e+01 1.148911406217121112e+02 7.253986404929800569e-02 4.034549120079780238e+01 5.271087196973202049e-01
1.002056749798365303e+02 5.011890690957754487e+03 1.130804904389810014e-03 5.500520981632613626e+01 4.575917849248172659e-02
1.934144026845192741e+02 1.869351751887674982e+04 4.764627406136839801e-05 1.163673985945231806e+02 8.758736635222761358e-01
1.007259543679035403e+02 5.051091656287633668e+03 2.350549520360841122e-04 3.300092530647742706e+01 8.574125606276203904e-01
1.080631981349473421e+02 5.835833998476298802e+03 1.651102217139953018e-02 9.963753018098070413e+01 5.736114546932751246e-01
6.950059621358209938e+01 2.406785767922306604e+03 4.478749761768629914e-04 8.092891913819815386e+01 8.843265457577377253e-01
1.154369432606092971e+02 6.659052790647674556e+03 2.258433390508862021e-03 6.986110123936900607e+01 7.345852632007097149e-01
8.272458473514080879e+01 3.416238930950284157e+03 1.330919255447557273e-03 5.677132388291455101e+01 4.947502458695249850e-01
1.697266224069754799e+02 1.439424179798083605e+04 3.049361539927577906e-04 6.164327404923345455e+01 3.677743055110996862e-01
7.431526373828747012e+01 2.753653864980049093e+03 1.905850962454735920e-04 6.482548749297058066e+01 8.501284493096185058e-01
1.514403658354358129e+02 1.146032412986891541e+04 1.588209135378946700e-03 1.086028041734998624e+02 3.640341959479004852e-01
1.202488928208065744e+02 7.218303087795117790e+03 1.175274760180420561e-04 9.188766601240240561e+01 8.516711469206349472e-01
1.847917397723371948e+02 1.706301517549245182e+04 1.175274760180420561e-04 9.926919193728953417e+01 7.465464026435230105e-01
1.359433576814681714e+02 9.238276927495548080e+03 1.727336255638142401e-02 9.589500101718080316e+01 2.437815984292336091e-01
5.765972503876864153e+01 1.656797824569204977e+03 1.332189822755860432e-02 6.447622380931785813e+01 5.844287046782750128e-01
9.917496300267170284e+01 4.910764310137052234e+03 1.715265866209262410e-03 9.888810594238356089e+01 3.442948074351149801e-01
1.230628689790197505e+01 7.097671508877135693e+01 2.364525760752175798e-02 3.368314758996508829e+01 3.649254129416623083e-01
2.676878632065781716e+01 3.482050475987405207e+02 7.273997840035575967e-04 3.129193507540850661e+01 9.000078341304565965e-01
2.354103696396760270e+01 2.718233466946979320e+02 1.301060923702433182e-02 8.059180009823023738e+01 1.930150602378697122e-01
9.448091937966157161e+01 4.455372685932735294e+03 1.918556635537767676e-03 8.523707959151221303e+01 1.553763650226844817e-01
4.576978390531866125e+01 1.041814902052601610e+03 1.172415983736738512e-02 8.295340930310274530e+01 5.058734950938764685e-01
1.159199122027216617e+02 6.712563938167224478e+03 1.299155072739978508e-03 1.140309758095407915e+02 4.429652942374576741e-01
1.802012017029386470e+01 1.592933919616459093e+02 2.220316371259767330e-02 5.599822539411710665e+01 4.420310253085320551e-01
4.049200749517567033e+01 8.130289867392930319e+02 1.689854520043199224e-03 3.286040206540191377e+01 6.385795032280308092e-01
5.053201763884612063e+01 1.266066234440110520e+03 3.430531732418524602e-04 4.869146894743073517e+01 9.226169452455728059e-01
1.118992278674293317e+02 6.252844215852273919e+03 9.338669716028206525e-04 8.287558499855666128e+01 3.742633930939002207e-01
6.892538437123563710e+01 2.369872091322590677e+03 5.612731084429197284e-03 3.907182110242165862e+01 1.575027590933409938e-01
4.397145863543029520e+01 9.601775321994255137e+02 2.595133727209199010e-03 6.486544813152403322e+01 6.471079457974772131e-01
6.529831260361682155e+01 2.122442203068804702e+03 3.220888126548503757e-03 5.859875449562727567e+01 2.175684344923639046e-01
2.586094062962137627e+02 3.342909387825424346e+04 1.111746394765262733e-04 6.025623480095435269e+01 8.835685144150700054e-01
4.522940554495598775e+01 1.016998268044940232e+03 8.541388730067975277e-03 8.925794298091193468e+01 3.657656174797896398e-01
1.548126442534946534e+02 1.197756685975833170e+04 1.207038942887999570e-03 1.191061542489969582e+02 2.535996473048282018e-01
1.267838008532981320e+02 8.029773087659769772e+03 1.121275649577536428e-03 5.758950659524693805e+01 8.919410501842761629e-02
1.819989006847631288e+02 1.655178568166248442e+04 1.496093005526967761e-03 7.126657020078340565e+01 4.780937158473602157e-03
4.200665658608697584e+01 8.811537240708914851e+02 9.221142240010164401e-03 5.836487258286238955e+01 8.467000241048253106e-02
1.032196115286916012e+02 5.322379937940672789e+03 2.229845626072041263e-03 1.179752300081412955e+02 1.885986933413291988e-01
1.407206289416591289e+02 9.892420375794565189e+03 3.208182453465472273e-04 8.098271825175696392e+01 7.690871989103152950e-01
