# format=SNRtot_MF, evidence_inj, nofilter, occams]
3.468148582296832672e+01 -2.897301636441100072e+02 -8.821856169979726019e+02 4.431410883023786246e-04
2.266826785537555722e+01 -3.490145416219097001e+02 -6.003784911306315735e+02 2.025741283805800041e-02
2.117923172427623157e+01 -3.450356046335082851e+02 -5.647452097675143250e+02 3.469859889214727683e-02
3.069475645095332794e+01 -2.740193724957830455e+02 -7.386340657848580804e+02 4.173998044965787114e-03
2.217158099863456755e+01 -3.686522709616958764e+02 -6.086549776415512270e+02 3.565330726621049329e-02
2.533597006910813221e+01 -3.238205590987423079e+02 -6.373793024761472452e+02 2.241772564353209513e-03
3.328400677319939405e+01 -2.962358033845749219e+02 -8.453411063744816829e+02 1.180188986640599499e-02
2.449986541537516871e+01 -3.478476366234156103e+02 -6.429018961527764304e+02 9.755620723362659272e-03
4.487306406186553431e+01 -2.731708378491308054e+02 -1.271858155128049702e+03 1.867057673509286411e-03
2.870042233255593089e+01 -3.581050516706150120e+02 -7.651715142710183954e+02 1.747800586510264015e-02
4.259582614479290186e+01 -2.496867379610993964e+02 -1.150719096793952076e+03 5.881394591072010639e-03
1.569708445731269997e+01 -3.674663675586081695e+02 -4.850540360976470993e+02 1.560117302052786009e-02
3.541608932524555797e+01 -2.694407639878313034e+02 -8.895784679061674751e+02 2.939068100358422937e-03
5.521904001412224261e+01 -1.754887493775173937e+02 -1.687451284438993298e+03 1.264255457803844900e-03
2.419053120324113593e+01 -3.728573860988561819e+02 -6.605918158663301938e+02 2.318670576735092775e-02
3.257741814649265422e+01 -2.607037630045134051e+02 -7.851444378091623548e+02 5.206907787552949272e-03
3.759741719700920726e+01 -2.673802845338236693e+02 -9.681568883606132658e+02 7.787552948843271851e-03
2.135177094035207901e+01 -3.616231634346870010e+02 -5.838741386412326619e+02 1.055718475073313782e-02
1.356322410414865409e+01 -4.208858066393897843e+02 -5.083899553268990985e+02 3.277289019224503136e-02
2.007543542907641054e+01 -3.496974039867973261e+02 -5.467901209091370447e+02 2.569566634082763243e-02
