# format=SNRtot_MF, evidence_inj-nofilter, occams, mass_in_solar, chi_inject]
1.120514826894194194e+01 5.952773924245889248e+01 3.128454354869449061e-02 6.438113826198724610e+01 6.721273894589024911e-01
1.454657154862893265e+01 1.028309359892539874e+02 1.839146178768820330e-03 4.097328805464712076e+01 8.894584841926019836e-01
2.728827362866775985e+01 3.695653957095130409e+02 1.604091226732736256e-02 8.076706384460085530e+01 4.851508930901418659e-01
2.475205136835055697e+01 3.034096641240541885e+02 1.228003303475001633e-02 5.941299522437248015e+01 5.228826800011342479e-01
2.266626101913313107e+01 2.517349527299580245e+02 1.258179277047201568e-02 5.313868010262218178e+01 3.874077038177005106e-01
2.324866361779914925e+01 2.654096729902539096e+02 2.199669652499841241e-02 1.141026287492779687e+02 5.928549088213673768e-01
1.916839802432657081e+01 1.782464045020487902e+02 2.932786989390763141e-02 1.160690738508266975e+02 6.276570648703194699e-01
1.222377591096793026e+01 6.946680761622320688e+01 2.883234864366939973e-02 1.176260150947894374e+02 7.638299674198240075e-01
2.115152697318841746e+01 2.185184072888916944e+02 1.438282192999174210e-02 5.643822017674948199e+01 3.343239867705108392e-01
1.542448328177486339e+01 1.149118658869341516e+02 1.898227558604917084e-02 4.654171150467618645e+01 5.424701296739594669e-01
1.522504890749228146e+01 1.134999668492051228e+02 6.217838765008576463e-02 1.180185075153936793e+02 2.564633048558970785e-01
2.042148968684132271e+01 2.058523835167825951e+02 2.293056349660123339e-02 9.263731092364733399e+01 2.477540388165982710e-01
2.379366336962863926e+01 2.814832011046661364e+02 1.876945556190839220e-02 8.120490908109528050e+01 1.523676199949354493e-01
2.871104115052317596e+01 4.052672138620209239e+02 1.149228130360205845e-02 5.175834824274174650e+01 3.125727626651115254e-01
2.172087639657200597e+01 2.317628959354605058e+02 2.569722381043135911e-02 8.921276454689558477e+01 1.327876833422094727e-01
3.534972949935409758e+01 6.185663295295142916e+02 3.732291468140524603e-03 8.425455592917778347e+01 6.697073456453096485e-01
4.278314468461960018e+01 9.087577580565305198e+02 6.419541325201702335e-03 1.050023955672636475e+02 5.418176192556182214e-01
2.302656736157669926e+01 2.609253157962582463e+02 2.872117400419287384e-02 1.055823471353185852e+02 2.453096435255436025e-01
