# format=SNRtot_MF, evidence_inj-nofilter, occams, mass_in_solar, chi_inject]
7.184623166661195626e+01 2.577360041014891976e+03 2.185375770281430818e-02 7.997958604809772964e+01 3.946893975103596963e-01
5.942490536243444410e+01 1.762647075272961047e+03 2.884187789848167201e-03 6.014698389415130464e+01 1.467845983351549199e-01
3.768919825508960741e+01 7.033770888722071959e+02 8.083984499078837940e-03 7.104691244349930912e+01 5.856008213638750348e-01
5.963938567975450411e+01 1.773511485884824879e+03 1.474175719458738383e-02 4.095298385850241374e+01 6.924320490984618715e-02
4.745544470832012252e+01 1.120374749024194443e+03 6.518010291595197070e-03 5.631530980653000995e+01 1.925427573831548500e-01
3.841774930666780818e+01 7.338031632257626597e+02 2.890540626389682954e-02 4.951689159795907358e+01 3.276626838170297873e-01
3.179682816016579494e+01 4.982949282278705709e+02 2.097071342354361184e-02 1.066313862241802752e+02 4.980302576327585995e-01
5.331480848978644360e+01 1.415285035792132021e+03 1.353154183342862669e-03 6.811480549390989836e+01 7.995441630573406622e-01
2.968288788117720500e+01 4.388948026120641543e+02 2.886411282637697806e-02 4.615945997671630607e+01 4.675532745559288772e-01
3.710886342997981302e+01 6.896201174396005626e+02 8.744679499396480760e-02 1.171868134680522928e+02 3.304555210074952010e-01
3.990874962558812911e+01 7.934878982619603676e+02 1.869957435995171779e-02 4.490139894250719976e+01 2.826602099560176495e-01
3.156084579217048613e+01 4.935252577197422852e+02 6.686360459945365348e-03 4.937799227224066811e+01 7.648931579586757401e-01
1.998855599399548666e+01 1.969858241100370719e+02 3.189759227495076593e-02 5.182952063165702583e+01 5.919948518972831808e-01
7.739551041535685272e+01 2.990776193015752142e+03 2.172987739025475026e-02 3.857447182116267470e+01 9.242185562108985730e-02
4.626250456778034703e+01 1.064688889554943444e+03 6.006606950003176223e-03 5.014982316622928238e+01 7.427186252434316849e-01
4.103647381563916952e+01 8.344369834471262948e+02 4.532748872371514075e-03 3.847331754731441578e+01 7.061290386908296579e-01
4.768159570190438501e+01 1.130957302935733196e+03 1.045359252906422759e-02 7.678063102939876217e+01 6.978185816287284515e-01
3.012553840686250339e+01 4.505019068733474796e+02 1.432564640111809971e-02 3.838379429294580092e+01 1.279357575092193167e-01
1.033048957123394445e+02 5.330557004736036106e+03 3.373356203544882869e-03 1.189308582934817338e+02 7.811036208140973436e-01
5.098107823133801730e+01 1.293937543695619979e+03 1.834063909535607606e-02 7.374761372589674124e+01 5.771610758417351494e-01
