# format=SNRtot_MF, evidence_inj-nofilter, occams, mass_in_solar, chi_inject]
1.148445035990298990e+01 6.394716574548101562e+01 8.634457785401181140e-02 1.185612422241762260e+02 1.157719070933012212e-01
8.754291451095523868e+00 3.285983583026740007e+01 3.601423035385299676e-02 4.018326182797083845e+01 8.080355127448878017e-02
1.465316696778712569e+01 1.041337316548061267e+02 3.016326789911695505e-02 6.710733501606208051e+01 3.781106285546097512e-01
1.354582773847625177e+01 8.888804747756847746e+01 7.118035702941363785e-02 9.900598335219072510e+01 2.454259461530939601e-01
1.102456117514220502e+01 5.735663541562456658e+01 5.728352709484785255e-02 6.230115347885879373e+01 4.041401612977710833e-01
1.379806541434521350e+01 9.010636813466936701e+01 9.557842576710500956e-03 8.995230394801254192e+01 8.286412649796272012e-01
1.736809407170747122e+01 1.469286339416968303e+02 2.688838066196556909e-02 5.909523359154952971e+01 2.104958138991656902e-01
1.802130019563717767e+01 1.579322950725636474e+02 1.746712407089765634e-02 5.212669421271749570e+01 5.681548859764816717e-01
1.520997282453623534e+01 1.115072040161620066e+02 4.741121910933231848e-02 1.073635068254859988e+02 4.701004252393319316e-01
8.687554523641846771e+00 3.454356116298811230e+01 5.395464074709357960e-02 5.482275832563856710e+01 2.001985332546377394e-01
1.209513079665998880e+01 7.100998088329333768e+01 5.603519471443999672e-02 7.770046695949096716e+01 2.084236899783710739e-01
1.066668215713420054e+01 5.386333152378153954e+01 7.907058001397623825e-02 1.150947733528986703e+02 4.555218273322201861e-01
1.575487322773795285e+01 1.179826250640387002e+02 1.580585731529127874e-02 9.629573466978145291e+01 7.307070177520410548e-01
1.075073818745357634e+01 5.353729367622469226e+01 6.673019503208182934e-02 9.400988269871191960e+01 4.057812290805045685e-01
7.587952278767335912e+00 2.660739791304257551e+01 6.202274315481862837e-02 4.767231592712874289e+01 5.066590869018561261e-01
1.500452852788899882e+01 1.076657292197600100e+02 1.365859856425894088e-02 6.475042435548400022e+01 7.016584783742259024e-01
1.688117745758937360e+01 1.393363740945321751e+02 4.001651737500794281e-02 1.047314801881093018e+02 3.000726753857514972e-01
1.085284073327693299e+01 5.450777801373550346e+01 3.300298583317451406e-02 5.004133540100221467e+01 4.299374726466861363e-01
1.810764340362127811e+01 1.607353170445866795e+02 2.885140715329394603e-02 8.390245069805229150e+01 4.647502428834876520e-02
1.160488406846273790e+01 6.145686463493524343e+01 4.126167333714503109e-03 6.331482776977136950e+01 9.312482148361829193e-01
1.919283802219307944e+01 1.797472598258922858e+02 2.851788323486436835e-02 8.565341588923189420e+01 1.093440573785866010e-01
1.784003361281168409e+01 1.534667401107521414e+02 9.745251254685217274e-03 3.568286638365749752e+01 1.066140316133909194e-01
1.864467285540177244e+01 1.701483892813316743e+02 3.929229400927514160e-02 9.883567520510069926e+01 2.504576880349747015e-01
2.713750861342596110e+01 3.601514002518704842e+02 4.084873896194650758e-03 1.100905061296204934e+02 8.104840133072516162e-01
1.294022654111377157e+01 7.975473138416191432e+01 7.004955212502382567e-02 1.159959877706174467e+02 1.591861552950022685e-01
1.578099135071090053e+01 1.198299136740961330e+02 1.321707642462359444e-02 3.396550221977484085e+01 4.186472423956136280e-01
1.381762845357699199e+01 8.953778470919422716e+01 6.097134870719776722e-02 9.634712249584737265e+01 3.399084567799433299e-02
1.879427770345987270e+01 1.715760477619218136e+02 1.100628930817609992e-02 3.755163289765051360e+01 5.953875049611053738e-01
4.497343293084753668e+00 7.104685381795150079e+00 3.120735658471507357e-01 7.927920566459070528e+01 3.711151002265424825e-01
9.564129248235065717e+00 4.139224634091891630e+01 4.342163776126040098e-02 5.720750440404371773e+01 1.056228486462618688e-01
1.217800469890022086e+01 7.060656955580577687e+01 2.197128517883234836e-02 3.066698502046906682e+01 3.732545258350667972e-01
1.148007409031807491e+01 6.269922652543732511e+01 4.791309319611206097e-02 5.128314796906767015e+01 2.334016595506950009e-01
1.552201657724363315e+01 1.150882030611217033e+02 5.431357601168922133e-02 9.686930896413855407e+01 9.470889558275855102e-02
1.310334137583625136e+01 8.100478786825311772e+01 2.061813099548948439e-02 3.497884841706650860e+01 6.648287812428357313e-01
1.007921068728621705e+01 4.636387502686807238e+01 4.687440442157423531e-02 6.962668359935949525e+01 6.479675246838521030e-01
2.097480658165182632e+01 2.144886616815793445e+02 1.716218791690489812e-02 6.355451160409157296e+01 3.536919806024311774e-01
1.589671115636991594e+01 1.243377314637573932e+02 4.839908519153802297e-02 9.872791355230148724e+01 2.713207975693752161e-01
1.104885429233547711e+01 5.638379303188372660e+01 4.026745441839781753e-02 8.474553751460203443e+01 6.592573387026926524e-01
1.109726102416727045e+01 5.921867582751275449e+01 5.240137221269296902e-02 7.474004331511201826e+01 5.066987032648070932e-02
2.508917471852400283e+01 3.100630791997922415e+02 3.075408169747792519e-02 1.102674138758166151e+02 5.279066420387646952e-01
9.319675605600922452e+00 3.717489204266752267e+01 3.714503525824280200e-02 3.659647628356864857e+01 3.360864606097897778e-02
1.095119768706133989e+01 5.736699026777085919e+01 4.894225271583762388e-02 7.920742638182511541e+01 2.613412156058724234e-01
1.417099761294584326e+01 9.990416831397811848e+01 6.690172161870275302e-02 1.177697113872521726e+02 4.205622903463842044e-01
