# format=SNRtot_MF, evidence_inj-nofilter, occams, mass_in_solar, chi_inject]
1.919662461715226129e+02 1.842174060287807515e+04 2.783812972492217749e-02 7.928780457576553431e+01 2.007932171022621670e-01
1.325752559549655700e+02 8.787238179242938713e+03 3.983863795184550138e-02 7.537206296506681724e+01 2.438890589329499869e-01
1.099120690956653732e+02 6.037163776841559411e+03 2.202846070770599074e-02 4.935446179432886993e+01 2.033924511336087093e-01
9.883772985442506354e+01 4.880091596450926772e+03 1.859475255701670965e-02 6.204273097824260930e+01 2.017831426224956926e-01
1.370637862166999241e+02 9.387895254064376786e+03 2.449018486754335911e-03 7.648259932163443864e+01 7.576798208053555639e-01
1.156287274684450495e+02 6.680239998471498438e+03 1.694619147449336061e-02 6.319823188018943227e+01 4.877978255109937655e-01
1.238352563566739093e+02 7.664889882974150169e+03 3.792008131630773132e-02 6.935845358276733919e+01 1.851432931119934289e-01
2.577720086678316420e+02 3.322036552765378292e+04 3.533765326218156477e-02 9.567904342242968596e+01 6.312524413732321926e-02
7.166956218159167946e+00 3.027131594379301305e+01 2.063274251953497174e-01 1.049653824734473631e+02 4.711721523914133569e-02
3.128942807619678135e+01 4.887711458700179605e+02 6.460834762721555380e-02 8.951707923755782303e+01 1.732814389527271570e-01
1.029533935053393918e+02 5.294391091629522634e+03 2.528428943523283040e-03 4.353197681797571761e+01 5.828887594611273926e-01
1.487645333379757346e+02 1.106439425705151189e+04 4.461597103106536982e-02 8.610643169763190485e+01 1.763645063964398019e-01
1.549845570634768421e+02 1.200539897377634043e+04 3.737056095546661266e-02 6.792837291954825218e+01 2.852603725078160513e-01
4.087285137852229155e+01 8.312683502302827492e+02 4.892319420621307757e-02 9.272367316725228648e+01 1.795082637729271957e-01
2.122640149201043585e+02 2.252676391465369306e+04 2.008131630773140122e-02 8.833091363920618733e+01 3.932168537148530429e-01
1.515800387291470486e+01 1.051060981891251913e+02 1.223556317895940597e-02 3.338983599028311744e+01 3.795365806245725726e-01
1.760403570647668801e+02 1.549161262301834722e+04 3.040467568769455661e-02 7.109627848575863140e+01 1.758027331148443242e-02
1.504556133487891145e+02 1.130994675493043360e+04 8.576329331046311506e-05 7.078246722485863529e+01 9.398732781954610704e-01
2.127948404387750259e+02 2.263280741123789267e+04 5.526967791118734142e-04 4.016244743810408124e+01 6.452071930546195988e-01
1.967971541549462984e+02 1.935801596868031993e+04 1.048218029350104878e-03 3.045531535070587026e+01 3.793145958184262478e-01
1.140111741217330206e+02 6.483712004724419785e+03 2.890540626389682998e-04 4.418873552810713079e+01 8.375867728768267018e-01
3.639988439256587327e+01 6.595092552657973783e+02 6.877898481672066466e-02 5.330034102290449027e+01 3.006961790827735181e-01
