# format=SNRtot_MF, evidence_inj, nofilter, occams]
2.734432635911290532e+01 -3.215724033850071919e+02 -6.886241123905612085e+02 2.461279461279461487e-03
2.363377816318793023e+01 -3.618461758273344913e+02 -6.369836950083855527e+02 3.688215488215488419e-02
2.742071594838134629e+01 -3.788299864191799315e+02 -7.504421737097072764e+02 2.032996632996632996e-02
1.924556852105591886e+01 -3.568744392878791132e+02 -5.364688081261109573e+02 8.952861952861953729e-03
1.363874158488361132e+01 -3.793465577616772748e+02 -4.688548653555795909e+02 3.243434343434343364e-02
2.018687240015466955e+01 -3.561137085770990893e+02 -5.555527409910488359e+02 2.965993265993266056e-02
2.029605182655885187e+01 -3.672453203578377838e+02 -5.688769374427864705e+02 1.234680134680134732e-02
3.389342809881432572e+01 -3.135546952453839822e+02 -8.820909778510966817e+02 1.227272727272727196e-02
1.856459724951276868e+01 -3.484842461678424002e+02 -5.169183241680367473e+02 3.372053872053872026e-02
2.128399952604961243e+01 -3.398442221718445921e+02 -5.615790380013786489e+02 1.129292929292929210e-02
1.797319231680984331e+01 -3.733961285111747657e+02 -5.313024585567183067e+02 5.101346801346801074e-02
3.471754412509968546e+01 -2.430474966597915625e+02 -8.368536235233415255e+02 6.397306397306396939e-04
2.726453503339800477e+01 -3.155341029873802654e+02 -6.827573683474712425e+02 2.535016835016834849e-02
2.907389601021876402e+01 -3.605960630233677762e+02 -7.784678863586583475e+02 1.373063973063973035e-02
3.212279899341575629e+01 -2.975147181817936257e+02 -8.083958916669776045e+02 1.016835016835016849e-02
3.286807413434326008e+01 -2.919295814424756941e+02 -8.267329527916904226e+02 1.103367003367003440e-02
1.793006473814112312e+01 -3.539443232012679914e+02 -5.107363974800301776e+02 4.155892255892255915e-02
2.172225506950286089e+01 -3.394405020505737980e+02 -5.719539544337567349e+02 1.244107744107744024e-02
3.042848387932898646e+01 -3.376032654793169172e+02 -7.955207127707593600e+02 1.969023569023569190e-02
8.770888534046701324e+00 -3.499851427873674652e+02 -3.870629177477845246e+02 5.771380471380471722e-02
