# format=SNRtot_MF, evidence_inj-nofilter, occams, mass_in_solar, chi_inject]
1.499756596185487751e+02 1.123827837364902916e+04 7.108824089956165479e-03 7.549527846377264950e+01 6.159519893691924874e-01
2.277244474097535374e+02 2.592997881168593085e+04 4.267517946763229458e-02 1.130629098769765903e+02 2.834094865185401990e-01
5.086671646851037565e+01 1.290367035576792432e+03 5.911314401880439495e-02 6.710090918791311765e+01 4.844264167447213110e-01
2.259163935682239526e+02 2.551506159030256822e+04 3.134807191410964727e-02 8.117789831893270502e+01 2.728336299879298155e-01
1.730836554488529089e+02 1.496568328665705303e+04 5.399911060288419299e-04 4.593937222294545109e+01 7.273615617777193787e-01
2.400051110316244944e+02 2.879256956545634603e+04 3.494060097833682566e-05 1.192742576317034775e+02 9.443818691166065982e-01
4.482121023152244987e+01 1.001057887354352033e+03 3.371450352582427978e-02 5.436852574851051401e+01 5.888938884064121027e-01
3.727977695488226004e+02 6.948032671157953155e+04 1.905850962454736191e-05 6.776698336136206535e+01 9.253008137938055766e-01
2.574959925299222618e+01 3.240185590678792096e+02 8.172924210660060390e-03 3.829019484941879625e+01 7.671599546655951674e-01
3.457153338979188106e+01 5.817905215690918794e+02 6.578362238739597460e-03 2.007467356904060551e+01 3.709848616192977233e-01
2.331066015640928697e+02 2.716017299557350270e+04 2.639603582999809368e-03 5.139582247544313987e+01 5.358553418596496698e-01
5.218942445077673398e+01 1.356517302104528426e+03 4.440950384346610547e-02 1.146378457669680841e+02 5.605846992211558355e-01
7.251633576739985187e+01 2.627630802450798456e+03 6.743535988819007732e-03 5.033595231638083334e+01 5.163065666366716266e-01
2.385881823894121965e+02 2.845382041137522174e+04 1.218791690489803674e-02 7.054187994325019417e+01 3.109476441559184678e-01
2.774131696026291820e+02 3.847631348956334114e+04 1.845816657137411970e-02 9.072419471969492122e+01 9.626187099966497518e-02
4.160698656027778242e+01 8.629492774988094652e+02 3.688774537831141648e-02 7.546451458157420689e+01 3.343098720804746904e-01
1.236717565126782716e+02 7.644936910658570014e+03 6.486246108887618739e-03 1.132066455476455502e+02 4.918285581022127095e-01
1.589244015697240400e+02 1.261965614977091718e+04 1.143510577472841606e-03 9.624789695835396230e+01 7.475170457187643169e-01
