# format=SNRtot_MF, evidence_inj-nofilter, occams, mass_in_solar, chi_inject]
5.110562989991989014e+01 1.301077533365502632e+03 8.839972047519217488e-03 7.623816835131287917e+01 1.141432498761562331e-01
1.497714510293357932e+02 1.120477678269239186e+04 3.906994473032208461e-03 8.136130684625996423e+01 6.959418981298947683e-03
9.241201446211556458e+01 4.264303877659946920e+03 1.022806683184041693e-03 3.212083586375945998e+01 4.010123887860692071e-01
1.555627511399152070e+02 1.209228052644426862e+04 2.776189568642398880e-03 7.977766912686220735e+01 5.774622943038408840e-01
1.191651598077348417e+01 6.761150535587790955e+01 1.314084238612540576e-02 4.634659873312126166e+01 8.526214339110534945e-01
1.499588144850047300e+01 1.112945026092048124e+02 9.135696588526777406e-02 9.769038634607971971e+01 3.322431512689550392e-01
1.925861189317296862e+02 1.853802714779839152e+04 2.309256082840988392e-03 1.095373810748372705e+02 5.391738521241407067e-01
2.028621171718754965e+02 2.057135948222972365e+04 5.272854329458102722e-03 8.105841366873900711e+01 2.444110713202667373e-01
1.794697851319166659e+02 1.609660406511546171e+04 1.289625817927704705e-03 1.164720453134465146e+02 8.070338211673786510e-01
6.718721295092274204e+01 2.252784635073589925e+03 1.581538657010355189e-02 9.712918325433358291e+01 5.175343193850809875e-01
3.858607731942453256e+01 7.444344046992382573e+02 2.871482116765135609e-02 4.920870938854962162e+01 2.037967634455551680e-01
8.181491398585065156e+01 3.339741269893902427e+03 1.237532558287275306e-02 1.016468175358451447e+02 1.481009460479382478e-01
2.896339224011292686e+02 4.193364238523555832e+04 1.270567308303157404e-05 8.712725339412875769e+01 9.323551908408327371e-01
5.972311990846019114e+01 1.777331940657649284e+03 2.328314592465535997e-03 5.424321105939108634e+01 5.161453039449742652e-01
1.435098420735089064e+02 1.029074946356120563e+04 4.837685026364271432e-03 9.708426129217646405e+01 3.944848278525951435e-01
5.105784037039844492e+01 1.298064201947425772e+03 6.152722190458039322e-03 7.551481419654984961e+01 5.687049108840742662e-01
2.205903849863220501e+01 2.351099460262341836e+02 1.238803125595578335e-03 3.485821472352004946e+01 9.319211690533719672e-01
5.242575790397225433e+01 1.367227903767412727e+03 6.406835652118671176e-03 8.999720988532041588e+01 5.024370442870712550e-01
2.191375385202081247e+02 2.400531234522629529e+04 1.673972428689409842e-03 4.709364927552236679e+01 3.668929027744410876e-01
2.343308823987117364e+02 2.744617247062939350e+04 9.211612985197891140e-05 1.084125713796312453e+02 8.966416974548119256e-01
4.382246471303956525e+01 9.495057292507827924e+02 1.416682548758020415e-03 3.796983337847846229e+01 8.549483276174839608e-01
1.967757745384332679e+01 1.894128431374281263e+02 8.849501302331491681e-02 1.013942625109701225e+02 4.699905569651409154e-01
1.021054416319121572e+02 5.204514133493929876e+03 1.797852741248967762e-03 3.299149644688493055e+01 4.496404254962856339e-01
3.151266891130272256e+02 4.964410987404051411e+04 1.207038942887999543e-04 8.859057751933104896e+01 8.614382492622473242e-01
1.916554594057213876e+02 1.836429185325382787e+04 9.719839908519154305e-04 9.569794522703334394e+01 3.899343687184664842e-01
1.862339446438575976e+02 1.732868581777518557e+04 1.791499904707451966e-03 6.189586422497456653e+01 5.766528548682918753e-01
1.152687312027645419e+02 6.636200219048963845e+03 4.961565338923829352e-03 9.140095832841348056e+01 3.085400667378091488e-01
4.408733143434327673e+01 9.183377708161789315e+02 2.061495457721872985e-03 2.020481159432410578e+01 6.578839850410335144e-01
1.836473325733051922e+02 1.685397780654473536e+04 8.639857696461470012e-04 1.117954366590772679e+02 5.221637292832503885e-01
1.990285373326103411e+02 1.979427868073960417e+04 1.429388221841052008e-04 6.382705933838663270e+01 8.382463496981822360e-01
2.597244994671572726e+01 3.308990023720389786e+02 2.675814751286449342e-02 9.009799026076957773e+01 1.737278279693748317e-01
1.461446746676207198e+01 1.078444597478115270e+02 8.266310907820341447e-02 7.408665869014393479e+01 4.508252364908953425e-01
5.959741431505065634e+01 1.773434698573934838e+03 5.426910615589861098e-02 9.583531147152083918e+01 1.391930995339782928e-01
6.511329312680371117e+01 2.113761957134804561e+03 2.032907693285051793e-03 2.483041919071900594e+01 3.479521882308189151e-01
7.238136604591250745e+00 2.286419215043753184e+01 5.498380026681913557e-02 3.502284036725407645e+01 6.142087716325621560e-01
7.664558968927451588e+00 2.821382399969991184e+01 1.072994091862016358e-01 1.108202130004103481e+02 8.199626920520427520e-01
8.337912132749251271e+01 3.465212732176140889e+03 2.537958198335556626e-03 6.010466143976309894e+01 5.822466777682335781e-01
1.609446219098553144e+01 1.278871552882536662e+02 5.816339495584778307e-02 1.121063897583656797e+02 2.258617300918783211e-01
1.334354272934395738e+02 8.899574612947477362e+03 9.846896639349469419e-05 1.059045797172178709e+02 8.854523784870632630e-01
1.143109530144551371e+02 6.525703643426439157e+03 1.403976875674988823e-03 6.176381879927372154e+01 4.844593680751136389e-01
2.935905623280708809e+01 4.273734689783849490e+02 5.249666476081570748e-02 6.467823147375520421e+01 3.594260107357958867e-01
1.884697368304125575e+01 1.727066227822969608e+02 5.905914490820151491e-02 2.753248496515978161e+01 3.352324854178493352e-01
6.636304193544073371e+01 2.198377208173537838e+03 9.611841687313386201e-03 8.534106314751430489e+01 2.102633151263691713e-01
1.631395549061150803e+02 1.329817943773302432e+04 1.280096563115431119e-03 7.986515809110611031e+01 2.360038817087808383e-01
4.712962219083027549e+01 1.104259775497250530e+03 2.435677530017152717e-02 5.697215530825288710e+01 1.546158985289643462e-01
1.627640455297821802e+02 1.323873405383942918e+04 1.305507909281494088e-03 7.572398146101893701e+01 4.220061276166266473e-01
1.237651389828075565e+01 6.668781127819420362e+01 1.120513309192554541e-01 9.762782996709056249e+01 7.169932625177406760e-02
9.752810721340027555e+01 4.747827458354169721e+03 1.801029159519725552e-03 9.879635174931473784e+01 4.603420503966294541e-01
