# format=SNRtot_MF, evidence_inj-nofilter, occams, mass_in_solar, chi_inject]
5.715336214891363653e+01 1.623053623168675813e+03 1.527857188234546743e-03 9.104584578946412421e+01 6.985314293339183189e-01
7.556755132655376883e+01 2.847417370111204491e+03 1.673972428689409842e-03 1.007157112382449071e+02 5.897166289325073141e-01
5.110562989991989014e+01 1.301077533365502632e+03 8.839972047519217488e-03 7.623816835131287917e+01 1.141432498761562331e-01
4.373347107366207354e+01 9.490246305718335407e+02 2.315608919382504405e-03 9.994259909625786520e+01 7.262467006457152818e-01
1.077947481694533671e+01 5.487349953023800708e+01 2.763801537386443088e-02 4.871772622201552849e+01 6.142775921922404292e-01
1.499756596185487751e+02 1.123827837364902916e+04 7.108824089956165479e-03 7.549527846377264950e+01 6.159519893691924874e-01
1.580361116566753026e+02 1.247928608677675766e+04 7.813988946064417572e-04 1.070631645736625188e+02 4.237660839214353325e-01
2.277244474097535374e+02 2.592997881168593085e+04 4.267517946763229458e-02 1.130629098769765903e+02 2.834094865185401990e-01
1.497714510293357932e+02 1.120477678269239186e+04 3.906994473032208461e-03 8.136130684625996423e+01 6.959418981298947683e-03
4.995464372023967314e+01 1.241586297864498874e+03 6.606950003176418435e-04 2.665857849508351052e+01 6.907340006836136803e-01
1.548062725035367748e+01 1.146420161149058004e+02 1.227368019820850031e-02 7.593920927330819381e+01 6.381467200034428577e-01
5.086671646851037565e+01 1.290367035576792432e+03 5.911314401880439495e-02 6.710090918791311765e+01 4.844264167447213110e-01
9.241201446211556458e+01 4.264303877659946920e+03 1.022806683184041693e-03 3.212083586375945998e+01 4.010123887860692071e-01
2.259163935682239526e+02 2.551506159030256822e+04 3.134807191410964727e-02 8.117789831893270502e+01 2.728336299879298155e-01
1.114967319128161165e+02 6.207355019865368376e+03 7.559875484403786802e-04 5.415966076002086993e+01 2.744078176588219953e-01
1.730836554488529089e+02 1.496568328665705303e+04 5.399911060288419299e-04 4.593937222294545109e+01 7.273615617777193787e-01
1.555627511399152070e+02 1.209228052644426862e+04 2.776189568642398880e-03 7.977766912686220735e+01 5.774622943038408840e-01
1.191651598077348417e+01 6.761150535587790955e+01 1.314084238612540576e-02 4.634659873312126166e+01 8.526214339110534945e-01
2.400051110316244944e+02 2.879256956545634603e+04 3.494060097833682566e-05 1.192742576317034775e+02 9.443818691166065982e-01
4.482121023152244987e+01 1.001057887354352033e+03 3.371450352582427978e-02 5.436852574851051401e+01 5.888938884064121027e-01
1.499588144850047300e+01 1.112945026092048124e+02 9.135696588526777406e-02 9.769038634607971971e+01 3.322431512689550392e-01
1.925861189317296862e+02 1.853802714779839152e+04 2.309256082840988392e-03 1.095373810748372705e+02 5.391738521241407067e-01
3.727977695488226004e+02 6.948032671157953155e+04 1.905850962454736191e-05 6.776698336136206535e+01 9.253008137938055766e-01
8.474540614949878758e+00 3.033641016325952933e+01 3.076361095229019835e-02 3.015417509651945949e+01 3.868076851497526808e-02
2.028621171718754965e+02 2.057135948222972365e+04 5.272854329458102722e-03 8.105841366873900711e+01 2.444110713202667373e-01
2.257218575731639731e+01 2.502163625483239571e+02 1.618385108951146678e-02 5.242874685099582877e+01 1.028564446427811391e-01
1.794697851319166659e+02 1.609660406511546171e+04 1.289625817927704705e-03 1.164720453134465146e+02 8.070338211673786510e-01
7.836267265526080905e+01 3.063173117657217063e+03 1.943967981703830861e-03 9.873162607902710874e+01 5.544796578922823738e-01
2.574959925299222618e+01 3.240185590678792096e+02 8.172924210660060390e-03 3.829019484941879625e+01 7.671599546655951674e-01
6.718721295092274204e+01 2.252784635073589925e+03 1.581538657010355189e-02 9.712918325433358291e+01 5.175343193850809875e-01
3.457153338979188106e+01 5.817905215690918794e+02 6.578362238739597460e-03 2.007467356904060551e+01 3.709848616192977233e-01
3.858607731942453256e+01 7.444344046992382573e+02 2.871482116765135609e-02 4.920870938854962162e+01 2.037967634455551680e-01
8.181491398585065156e+01 3.339741269893902427e+03 1.237532558287275306e-02 1.016468175358451447e+02 1.481009460479382478e-01
5.333262660978602554e+01 1.416303930238201701e+03 4.967918175465345365e-03 5.850244014967342565e+01 7.605009691068824462e-02
2.896339224011292686e+02 4.193364238523555832e+04 1.270567308303157404e-05 8.712725339412875769e+01 9.323551908408327371e-01
2.331066015640928697e+02 2.716017299557350270e+04 2.639603582999809368e-03 5.139582247544313987e+01 5.358553418596496698e-01
1.591638099142592644e+01 1.247624189973946613e+02 5.832539228765643707e-02 1.017781462548278739e+02 2.546701926567400132e-01
1.863312557167395482e+02 1.735002871661306563e+04 3.335239184295788199e-04 8.033121643133503653e+01 4.548544327103547502e-01
5.972311990846019114e+01 1.777331940657649284e+03 2.328314592465535997e-03 5.424321105939108634e+01 5.161453039449742652e-01
