# format=SNRtot_MF, evidence_inj-nofilter, occams, mass_in_solar, chi_inject]
1.669336065249945875e+02 1.392484755519588725e+04 6.060606060606060601e-04 9.037789621564677134e+01 3.979632144673021510e-01
1.048009986375881368e+02 5.484167236054187015e+03 1.251221896383186705e-03 1.160150981106714170e+02 4.875119467477015411e-01
5.867950793418352617e+01 1.716192000257680093e+03 7.504072987943955463e-03 1.117062743726552441e+02 5.195722706587616729e-02
9.010166345296576651e+01 4.054296481824568673e+03 2.538286086673183662e-03 9.816728499682832876e+01 9.945105010586852146e-02
1.478611195558358560e+01 1.021294444457055874e+02 1.951775822743564677e-03 1.521398121935504477e+01 8.712712951152978835e-01
3.556388360946737492e+01 6.243600062727007298e+02 7.331378299120234598e-04 2.492179453298138725e+01 7.322922368810295124e-01
1.204738357549206995e+02 7.248754460223177375e+03 4.594330400782013681e-04 1.076476336718972391e+02 7.110643408838265289e-01
8.578191384228580318e+01 3.672783450414261551e+03 1.616161616161616160e-03 6.998846691264753872e+01 3.956758127572675421e-01
5.662018893150317922e+01 1.591098652914974082e+03 4.561746497230368194e-05 3.050886523046973764e+01 9.448509981808752567e-01
5.599060980306358459e+01 1.562396478362622929e+03 5.571847507331378728e-03 1.073034707993259502e+02 1.088809541675444525e-01
9.689213576044632248e+01 4.686120537508201778e+03 5.799934832192896704e-04 3.645512291033140428e+01 4.340299884021966981e-01
6.250974615443635685e+01 1.942007061182132702e+03 1.238188334962528510e-04 2.695810427177401891e+01 8.593424953658402865e-01
2.750993298693958522e+01 3.745560935606208659e+02 3.717823395242750295e-03 3.228954362430666691e+01 2.106244303919358463e-01
4.861132856008710945e+01 1.175730005363566079e+03 2.958618442489410229e-03 7.839091381108973167e+01 5.701139769853814654e-01
8.060800379589629472e+01 3.235755840330010869e+03 1.205604431410883023e-04 3.401112429270551729e+01 8.466366324904017748e-01
1.902067452243672463e+01 1.767894342003729093e+02 2.564027370478983228e-02 8.211991222609890428e+01 6.141896952035622581e-01
1.427670532627882771e+01 9.762578454145960904e+01 3.758879113717823739e-02 1.054768475555143112e+02 7.056114175352681261e-01
2.511707919232497588e+01 2.881365421298386309e+02 4.822417725643532091e-04 1.027935687656613517e+01 4.951764052578560560e-01
5.060067061817793643e+01 1.275151182055778690e+03 7.722385141739980443e-04 3.597099562892070423e+01 7.806661693683419889e-01
2.316743036011977495e+02 2.682752390659909361e+04 4.822417725643532091e-04 1.044130997532717799e+02 1.260869286532989852e-01
1.176653099388512231e+02 6.915427332112514705e+03 2.264581296839361570e-03 9.249700171155257067e+01 1.422106476579447498e-01
1.204937953446637238e+02 7.251714538096470278e+03 7.689801238188334956e-04 1.196515884865191168e+02 5.351638805102255647e-01
4.852049577703837713e+01 1.170918534574309433e+03 1.524926686217008796e-03 2.616473836628046712e+01 4.462841855466963548e-01
6.237304059462582728e+01 1.936934990875906806e+03 1.032909742587161941e-03 4.775818121996529442e+01 6.265160798142747067e-01
5.747642618288236349e+01 1.642885665177862847e+03 4.105571847507331375e-04 1.930917309592540931e+01 6.588683839397956321e-01
1.446559925243637679e+02 1.045720261285819288e+04 4.431410883023786246e-04 4.950167159366872482e+01 1.097470168265889112e-01
1.056444113134287477e+02 5.571188245696193007e+03 1.955034213098729226e-04 3.183607152096674042e+01 6.553886890358928685e-01
8.907935747106235169e+01 3.958978235177497936e+03 2.834799608993157378e-04 2.707258389891844530e+01 5.804421236178447518e-01
1.067642003362954313e+02 5.692793500457567461e+03 1.094819159335288367e-03 1.087776381708075348e+02 8.425411679261241016e-02
3.185677141915963873e+01 4.985161274765407029e+02 4.496578690127077220e-04 8.522934077881021153e+01 9.443869723257010129e-01
2.370208097959848104e+01 2.733861794105322929e+02 6.376669925057022043e-03 2.768883454691626156e+01 1.662623545528448543e-01
4.400042369579532675e+01 9.628046341920073701e+02 7.699576409253828385e-03 9.688049163221022297e+01 4.588545202226863573e-01
1.115256358108084811e+02 6.210002811622945956e+03 2.020202020202020200e-03 9.091524729646098990e+01 1.317987693435766772e-01
2.402504384697749273e+01 2.823074969181469669e+02 8.341479309221244698e-03 4.030474236169511926e+01 4.163649956917995776e-01
1.801508878327391869e+02 1.621702075371661158e+04 1.303356142065819484e-05 9.758092637859198248e+01 9.398436519077628670e-01
3.930070455122971396e+01 7.645861045718341984e+02 1.132616487455197218e-02 7.802479783585401663e+01 1.869733931229849433e-01
1.609135002593578179e+02 1.293458086361291680e+04 4.561746497230368194e-05 6.698014857481365425e+01 8.741422337155363431e-01
1.334941453537596487e+02 8.902083330653706071e+03 6.549364613880742907e-04 1.191906775839859307e+02 5.155186648865286436e-01
1.085460665515787468e+02 5.886603802210064714e+03 2.170087976539589441e-03 1.011707381156538190e+02 1.600867430321710125e-02
2.119058312874091428e+02 2.244297993713145843e+04 3.421309872922776146e-04 1.195271864392037884e+02 5.425411196945378878e-01
7.202748884397384188e+01 2.586218233736749426e+03 2.652329749103942650e-03 1.061870997754847821e+02 5.625051099143169031e-01
4.380380884341563075e+01 9.515370417361884847e+02 1.205604431410883023e-03 4.118861368627629815e+01 6.813190864883358344e-01
2.451931747761026870e+01 2.926181327891877686e+02 2.681655262300423805e-03 1.051495354325576770e+01 1.354469986887775479e-01
5.963564742810157071e+01 1.773190490190548189e+03 2.212447051156728791e-03 4.496313457222240118e+01 4.415020671749031456e-01
2.357829239571648543e+02 2.778772131439406076e+04 3.160638644509612249e-04 1.158576837156417696e+02 1.495611815545456157e-02
7.284292640831587562e+01 2.646251161369770216e+03 2.463343108504398825e-03 8.560245715922826548e+01 4.370063239071973749e-02
2.444711118781146197e+01 2.899632422837775039e+02 4.972303681981101765e-03 2.495506309830036429e+01 5.753633553969843550e-01
2.605967677612798639e+01 3.333204028203488747e+02 5.685891169762137716e-03 6.717519991325323758e+01 6.918515022554565519e-01
2.208891562122014207e+01 2.383228653200047802e+02 7.096774193548387524e-03 1.720546360258284579e+01 3.923491224355437068e-01
5.460088120579501947e+01 1.483835309828293020e+03 4.506353861192570649e-03 7.471529875666588794e+01 4.623756994690067512e-02
1.824710806884527869e+02 1.663906928721595250e+04 4.561746497230368194e-04 1.192141765552878496e+02 4.932110990812859641e-01
3.188367901963209050e+01 5.023631365366208570e+02 1.380579993483219310e-02 1.152955937652154432e+02 1.859157494564188662e-01
7.526171457351166794e+01 2.821964540676392971e+03 9.058325187357445414e-04 4.655471966018937025e+01 5.253141937894473257e-01
2.117684813979759610e+02 2.241757164714086321e+04 2.183121537960247636e-04 9.178649548346646725e+01 5.903026245625645485e-01
5.018419070742893950e+01 1.253550020848707391e+03 3.766699250570218309e-03 6.312158119770641918e+01 1.445478842164546751e-01
7.083833697373115967e+01 2.502259356169447074e+03 4.248941023134571518e-03 1.020774456721396177e+02 3.165509619901087923e-01
1.037582353432433564e+02 5.373346712590049719e+03 1.922450309547083739e-04 7.418314244910619948e+01 8.265737307588012506e-01
