# format=SNRtot_MF, evidence_inj-nofilter, occams, mass_in_solar, chi_inject]
1.471541058806955675e+02 1.053813449222944473e+04 4.203323558162267836e-04 1.132615665978633928e+02 6.172396037932074142e-01
1.345350411113762163e+02 8.949397128344575322e+03 6.549364613880742907e-04 1.086701685804851394e+02 4.883777350128038486e-01
1.065250944187832403e+02 5.539680036095670403e+03 1.554252199413489735e-03 8.196213653627665963e+01 1.695613312084881807e-01
7.477965353847905305e+01 2.835075239432646867e+03 5.376344086021505372e-04 2.675297364873500428e+01 4.890603015543537602e-01
3.107840995247681093e+01 4.909292737251159906e+02 4.578038449006191155e-03 4.373323974379879786e+01 6.936575875808927150e-02
1.764242835037946477e+01 1.447916415984830110e+02 2.436624307592049482e-02 4.606796373583032533e+01 2.294948357149202145e-01
8.722827746943633542e+01 4.026711018867136318e+03 1.726946888237210816e-04 2.127712074515195440e+01 7.067608037544740318e-01
9.159139519840594801e+01 4.207113785661747897e+03 3.681981101335940042e-04 5.680761601016337892e+01 6.770645579741576547e-01
6.830170852208098609e+01 2.327433997170892326e+03 8.504398826979472133e-04 1.049720488229778681e+02 7.989412846176658922e-01
8.242518012063021615e+01 3.408936783430227024e+03 1.013359400456174649e-03 2.941955072822391060e+01 4.811050855869170029e-02
9.410900878870495490e+01 4.473998559967190886e+03 1.759530791788856303e-04 2.755967606514168011e+01 6.976960370244889020e-01
1.266039473797718387e+02 7.950416559516905181e+03 8.797653958944281517e-05 2.129849900288917297e+01 6.796880942036204187e-01
1.145677048177702773e+01 5.495133595502483104e+01 1.440534376018247006e-02 1.681561746823454584e+01 2.421607798647092413e-01
1.436484030264540763e+02 1.032131997803991362e+04 1.955034213098729226e-05 5.723756383870854592e+01 9.469813989487828598e-01
1.291465345426221631e+02 8.284032808476707942e+03 2.150537634408602149e-04 4.928354568116095180e+01 6.847091404661593828e-01
7.704609507280977709e+01 2.887061470291569549e+03 2.411208862821766045e-04 2.504694970080573313e+01 7.350558879449998750e-01
1.887767616066586243e+02 1.787339139556238297e+04 1.629195177582274355e-05 5.811689019775468523e+01 9.138820369302957936e-01
1.329526131504366901e+02 8.841401688345875300e+03 1.375040729879439556e-03 9.622812212444806335e+01 2.853558364881368936e-01
4.142428806567344424e+01 7.887985429961036061e+02 3.378950798305637229e-03 2.507327250313350220e+01 2.372365595901321511e-01
6.293482565554954533e+01 1.965463541570321468e+03 5.539263603779732807e-04 9.269098123410334722e+01 8.261383351017964616e-01
3.531827217884652725e+01 6.281039484259931669e+02 8.797653958944281517e-05 1.812162358108409066e+01 9.233627309733472011e-01
8.395973103261506765e+01 3.572022157257527851e+03 9.514499837080482234e-04 3.124836793351232700e+01 1.217628738118690379e-01
1.342347860530020114e+02 9.017126804319348594e+03 1.075268817204301074e-04 7.683050585563434254e+01 8.254430627220207262e-01
5.843155822485734063e+01 1.704182630279541399e+03 1.889866405995438252e-03 8.566754579625623478e+01 5.760325209830398085e-01
2.853110320309491499e+01 4.072637073625082849e+02 5.053763440860214833e-03 3.068919023358756704e+01 3.865827706428653920e-01
1.840658675045821155e+02 1.700245814283999425e+04 1.759530791788856303e-04 6.795299334300173655e+01 5.744840308845330368e-01
2.224941999766020899e+02 2.474787948092623628e+04 2.280873248615184097e-05 9.175315089845784655e+01 8.933139727456688162e-01
5.550760984319934366e+00 9.283542963492152467e+00 1.711306614532421069e-02 1.271453656262521470e+01 5.163809698618113675e-01
8.192139104367132063e+01 3.371290289513852258e+03 1.990876507005539479e-03 5.832991870032832082e+01 3.947961730105908722e-03
1.854421419541132252e+02 1.737403837425640086e+04 8.862821766047572491e-04 8.517836081062195319e+01 6.340067939317685364e-02
4.701708470625711556e+01 1.105469374157904213e+03 5.702183121537960243e-04 2.442229499342312948e+01 6.946621090176261504e-01
1.924634635826801059e+02 1.878679068233923317e+04 3.356142065819485171e-04 1.192676900441633023e+02 5.528126365285276345e-01
2.653100197111216119e+01 3.465462125884413922e+02 2.072336265884652980e-03 6.376649802424535096e+01 8.406710508587496022e-01
1.112647830805227471e+02 6.060158219026121515e+03 1.449983708048224176e-03 6.390968312078785374e+01 1.918781555527023230e-01
7.727588209482098591e+01 3.098271312218679668e+03 8.406647116324535672e-04 1.997635865909376918e+01 8.539713352688864390e-02
6.365392492572075867e+01 2.046950731029328836e+03 6.080156402737048327e-03 1.017733687365176820e+02 2.169273445395545896e-01
7.273102979846066773e+01 2.573334614345086266e+03 4.072987943955685888e-04 2.871054812473442297e+01 6.843595839675427062e-01
5.500488315308037102e+01 1.567504807483111108e+03 8.765070055392636030e-04 1.193671017211209033e+02 8.084495944608671714e-01
6.171879330733959534e+01 1.858498062601453967e+03 4.395568589116976427e-03 1.033902739979655223e+02 3.186750741141720078e-01
1.502460743384528712e+02 1.133900756585180352e+04 1.130661453242098402e-03 1.052336346168185059e+02 2.874781300600471323e-01
1.684629655752687540e+02 1.405293716633256918e+04 3.584229390681003581e-05 5.297393577754040450e+01 8.772944736642240837e-01
4.065705031962801996e+01 8.770966711848799378e+02 4.493320299771912454e-03 6.544286474898410688e+01 3.970609674762829444e-01
1.601752106873164792e+02 1.304970648885427909e+04 7.885304659498207878e-04 6.759286919792472759e+01 7.241776859530042743e-02
4.150575201091790234e+01 8.359418067546791917e+02 1.159986966438579341e-03 1.429388984018873821e+01 2.912957288667075151e-01
6.268493625588333629e+01 2.028281392945816833e+03 3.812316715542521991e-04 3.610676410263360481e+01 7.563186747256047671e-01
2.200159674576137832e+02 2.456279992252682860e+04 2.280873248615184097e-04 9.204272829877230322e+01 5.640643320826254081e-01
1.438821883586693673e+02 1.049444857840723125e+04 7.592049527533398495e-04 9.341429086886066102e+01 3.357019580337926024e-01
5.435054451912853324e+01 1.519632096371118450e+03 7.168458781362007162e-05 1.603414930196131749e+01 8.743392477979319288e-01
1.705732942239979266e+01 1.548514640306029833e+02 1.694362984685565329e-03 1.392297954693702877e+01 8.623974191743715156e-01
4.160412054604240240e+01 8.477350127280228662e+02 5.923753665689149989e-03 5.284205250493111805e+01 1.894650082554688933e-02
4.330318692314747864e+01 8.804014091792322461e+02 4.975562072336265663e-03 7.410406868306209560e+01 1.513212513932537390e-02
1.168744651912046209e+02 6.668907503618041119e+03 2.671880091234929942e-04 5.218077142103300758e+01 6.368790587467038078e-01
