# format=SNRtot_MF, evidence_inj-nofilter, occams, mass_in_solar, chi_inject]
8.936484822895728541e+01 3.985468824949787631e+03 6.516780710329097420e-04 5.013993137539736011e+01 5.015342993846652053e-01
1.594069726196867798e+01 1.236992868463996729e+02 2.833496252851091732e-02 5.972764859964418349e+01 5.407793764951898119e-01
1.085380496654668576e+02 5.884487802200169426e+03 3.844900619094167478e-04 5.085190667006737897e+01 5.065071750233873793e-01
2.796194096913321303e+01 3.858703268652193970e+02 1.134571521668295904e-02 5.428506909289112059e+01 5.174845168897831416e-01
1.244615726853251942e+02 7.738010796819514326e+03 3.681981101335940042e-04 5.514383146689268500e+01 5.956525735849401704e-01
1.734679773110104577e+02 1.503762949149016822e+04 2.574128380579993481e-04 5.992787137527250252e+01 5.065808703242450362e-01
3.134481613953483858e+01 4.848899388724987034e+02 6.823069403714565433e-03 5.703305118486507297e+01 5.748601489946648657e-01
6.988691085501909583e+01 2.433956782789746740e+03 1.130661453242098402e-03 5.273799297803719810e+01 5.735793304542872173e-01
1.177068173237826159e+02 6.917935472674703306e+03 4.724666014988595630e-04 5.677614271283465541e+01 5.739284729017490871e-01
8.636844661581764626e+01 3.722250206612558031e+03 1.072010426849136526e-03 5.466122930888992926e+01 5.008334863807202275e-01
2.204913271381478523e+01 2.372659530275349766e+02 1.222548061257738676e-02 5.325057531175323788e+01 5.301354902377010125e-01
1.783576650346585950e+02 1.589448558364959354e+04 1.694362984685565329e-04 5.182324240097999279e+01 5.129283939224759115e-01
7.684838269478446193e+01 2.945289734018384024e+03 8.862821766047572491e-04 5.319954047917813966e+01 5.791780384314118013e-01
3.589368151513374272e+01 6.391222421466706010e+02 4.147930922124470725e-03 5.809009295225089886e+01 5.350001646685745849e-01
2.116670448517004388e+02 2.239176741181185207e+04 1.726946888237210816e-04 5.309135976947733582e+01 5.019994199396817791e-01
1.773100295453306430e+01 1.485537368168074295e+02 1.918866080156402670e-02 5.199485380782263633e+01 5.422430764421868332e-01
1.259441820634759068e+02 7.922191879099143989e+03 2.899967416096448352e-04 5.772803814265671463e+01 5.848378339971970208e-01
1.078090357462465221e+02 5.802173040219811810e+03 4.105571847507331375e-04 5.175403262115893455e+01 5.727667172326867950e-01
8.766930858551602057e+01 3.834003936963762499e+03 5.604431410883023781e-04 5.440378603381279277e+01 5.801793691469251391e-01
4.699970981006809723e+01 1.097227046447727616e+03 3.069403714565004885e-03 5.427002932478455932e+01 5.244628179825396863e-01
7.625182327956093786e+01 2.902897911768050108e+03 1.541218637992831540e-03 5.095590318376429195e+01 5.080495180996075222e-01
1.737952280766313891e+02 1.509409954573974574e+04 1.889866405995438252e-04 5.081884559802392687e+01 5.611993427611537966e-01
1.623382985006406614e+02 1.316549748961063051e+04 2.117953730856956662e-04 5.907395415333085964e+01 5.795758109612709763e-01
5.534383788585097363e+01 1.523747786665577678e+03 1.847507331378299119e-03 5.856677814048020281e+01 5.775338224107533502e-01
9.204124237155305366e+01 4.224815514355435880e+03 6.158357771260997062e-04 5.028804850674206506e+01 5.986079238987603857e-01
4.779614645765060743e+01 1.134814295423840804e+03 2.834799608993157378e-03 5.682309684496252800e+01 5.309949919989540579e-01
7.849859682350516721e+01 3.073084390425141464e+03 1.006842619745845551e-03 5.384804000808622249e+01 5.794484493585999596e-01
9.556960137818514056e+01 4.558387827798812395e+03 8.862821766047572491e-04 5.958704842406199731e+01 5.224254011380200513e-01
3.639122720633142904e+01 6.567744739006730015e+02 7.295536005213424345e-03 5.983919958142261919e+01 5.069277709762487483e-01
1.196800745831539388e+02 7.154493793182949958e+03 3.193222548061257736e-04 5.765709570965690034e+01 5.940173520241197602e-01
2.332528140840488362e+01 2.682763146161528880e+02 6.836102965135223627e-03 5.231988763536411824e+01 5.737362683635062188e-01
7.106641026460148680e+01 2.516470759787089719e+03 1.345715216682958617e-03 5.211245037653210233e+01 5.085124041661094330e-01
6.249556437375641593e+01 1.945476214563004987e+03 1.704138155751058975e-03 5.823178645562349232e+01 5.711601905744403407e-01
6.254895852116391097e+01 1.948828738057732153e+03 1.505376344086021504e-03 5.365706540298781846e+01 5.262408355479211153e-01
3.052264622220218371e+01 4.601865910131340343e+02 7.165200391006842397e-03 5.161974337643776067e+01 5.219017630846493061e-01
1.666997983752114010e+02 1.388139667807414480e+04 1.824698598892147278e-04 5.480318679753765565e+01 5.386633439864978445e-01
3.661601540284223688e+01 6.648813413887630759e+02 5.588139459107200821e-03 5.214998318475097250e+01 5.601491916318405151e-01
1.617356100465369195e+02 1.307016134713279644e+04 2.052785923753665687e-04 5.542596662237398419e+01 5.852064505865404165e-01
3.934613134906940246e+01 7.674245011077684921e+02 4.206581948517432168e-03 5.131730417002856370e+01 5.389078318321735006e-01
1.365990867553342696e+02 9.319657616070568110e+03 3.486477680026067120e-04 5.912242543255284488e+01 5.609367036038990229e-01
1.082176747375850425e+02 5.845884707560629977e+03 4.333659172368849784e-04 5.852011328447908767e+01 5.694615661354920366e-01
5.891182385214213468e+01 1.728752807903713119e+03 1.632453567937438904e-03 5.656077346721185961e+01 5.346263889702427274e-01
1.010480684331028129e+02 5.098666493751261442e+03 6.125773867709351575e-04 5.239663518603357062e+01 5.837219666772375248e-01
2.938238314573419530e+01 4.260524780760764543e+02 7.862495927012056254e-03 5.122058095097968788e+01 5.769222064195443922e-01
6.891652018320954198e+01 2.367734941865357996e+03 1.700879765395894427e-03 5.359180331450922807e+01 5.004452647665126319e-01
