# start_time, SNRtot_MF, SNR220_MF, SNR221_MF, SNR330_MF, nofilter, evidence220, evidence220_330, evidence220_221_330, np.log10(occams220_221), np.log10(occams220_221_330
2.350000000000000000e+01 1.856175476157047699e+00 4.715010510007275002e+00 -1.663496492791965764e+00 6.115535362115694262e+00 -3.766119244759194089e+02 -3.739619579570043584e+02 -3.672681962895343872e+02 -3.645015974429037442e+02 -9.317542727244991774e-01 -5.627492211136878586e-01
3.000000000000000000e+00 2.597472573972944332e+01 3.380478312016424525e+01 1.412232429831845693e+01 3.737002288394165106e+01 -1.300906641854247709e+03 -7.899313426487869947e+02 -3.726021113843738135e+02 -3.687057939892971490e+02 -2.285678561985469592e+00 -1.599802794285483554e+00
1.100000000000000000e+01 2.187032938672880888e+01 1.845830063331163728e+01 2.250801208886344718e+00 1.830087241472901383e+01 -7.687184604214394312e+02 -4.196743398369839042e+02 -3.699456162346986048e+02 -3.679343668380614645e+02 -1.447093376927008679e+00 -1.374792262622892114e+00
4.050000000000000000e+01 3.054618176681117792e+00 2.508095670310791725e+00 6.975504444088058420e-02 1.137046363161661633e+00 -3.733318897509815883e+02 -3.698786673367246749e+02 -3.693205371323416557e+02 -3.689579433911811748e+02 -3.868089285463480742e-01 -4.434506070944355116e-01
1.450000000000000000e+01 2.382663142393857214e+01 1.529439408546705792e+01 -1.135120981782516414e-01 1.297757680600215302e+01 -7.009811505952513926e+02 -3.938642914301506153e+02 -3.674359146737697870e+02 -3.665461696092732495e+02 -1.432994077619155204e+00 -1.157372180548929208e+00
3.550000000000000000e+01 2.720898880602615755e+00 1.930565498284701809e+00 -9.780287063564557792e-01 1.098326011591093332e+00 -3.724851407055901973e+02 -3.695929002366001441e+02 -3.677133899217135991e+02 -3.670982284673745539e+02 -3.970182464876941264e-01 -4.074940077650978654e-01
6.500000000000000000e+00 1.917277327150430466e+01 3.086588885407823568e+01 3.797820906556303555e+00 2.836192691971452007e+01 -8.418077160076970813e+02 -5.191817953887657495e+02 -3.712299152114013054e+02 -3.665906655741130180e+02 -1.714884027340195072e+00 -1.580409086033624400e+00
4.900000000000000000e+01 2.264956685674500481e+00 2.530679576853223089e+00 5.298129026888714899e-01 -6.697359080895816108e-01 -3.744240938300015955e+02 -3.723148755845535902e+02 -3.725840905395241975e+02 -3.727565288424879100e+02 -1.082647638851784860e-01 -1.557302334819524181e-01
2.600000000000000000e+01 2.124177761810925436e+00 3.883736181680077060e+00 -2.013945774548444589e+00 4.774417938107585968e+00 -3.754588455928251278e+02 -3.739978919385430345e+02 -3.682526671634383320e+02 -3.664697599849766902e+02 -7.899099524029116193e-01 -3.841843496968356808e-01
4.500000000000000000e+01 2.141857760150676082e+00 2.322916374514561788e+00 7.300946821281517618e-01 4.326344741505037672e-01 -3.735589036233992033e+02 -3.713397306598146201e+02 -3.707186081882523467e+02 -3.718864230110002609e+02 -4.522146097909127138e-01 -2.865011192390805039e-01
3.950000000000000000e+01 3.002213245854755908e+00 2.455753083020776550e+00 -1.687906466510072090e-01 1.264904906318957023e+00 -3.717603319194126357e+02 -3.685799496334666401e+02 -3.673918274533706381e+02 -3.671094525850178343e+02 -4.198408049827401234e-01 -4.901523656751435309e-01
1.850000000000000000e+01 1.192013613869964672e+01 9.134703380301019138e+00 -4.167319422492743453e-01 8.752419960553950773e+00 -4.713733759865726825e+02 -3.893547387067850423e+02 -3.675014245095657088e+02 -3.660759879119849529e+02 -1.371547683175598831e+00 -8.197260972321429584e-01
3.100000000000000000e+01 1.548543030496653206e+00 1.781104728754807631e+00 -2.452269376558088965e+00 3.852220874524969751e+00 -3.788585200737248897e+02 -3.726895486506767838e+02 -3.702202224438304370e+02 -3.690128758366257671e+02 -2.854809639467358329e-01 -3.779068762674543391e-01
