# start_time, SNRtot_MF, SNR220_MF, SNR221_MF, nofilter, evidence220, evidence220_221, np.log10(occams220), np.log10(occams220_221)
3.600000000000000000e+01 3.753285264152015799e+00 3.753856605231641108e+00 1.402510951231553671e-01 -3.801283595700169826e+02 -3.747776604283262714e+02 -3.741372837464824670e+02 -6.811291758391886386e-01 -5.260604700992401739e-01
2.550000000000000000e+01 8.236789984788364549e+00 8.235025984403691268e+00 -1.881861030806764867e-01 -4.135315732258147250e+02 -3.827099666566288647e+02 -3.820119032454384183e+02 -9.401228886434672694e-01 -5.389418438826149016e-01
1.700000000000000000e+01 1.399196028111247081e+01 1.396672341043444021e+01 2.009281562045276637e+00 -4.773121331727126062e+02 -3.821036077528613646e+02 -3.805115852089356281e+02 -1.179078528042794227e+00 -8.589628098914363630e-01
7.500000000000000000e+00 2.965464253462566901e+01 3.030827677011421883e+01 4.291698343515707670e+00 -8.131790966057211563e+02 -3.781667452902797208e+02 -3.763755813697878807e+02 -1.680250925829266828e+00 -1.118485081361020095e+00
4.650000000000000000e+01 1.761084358771071834e+00 1.761001163188251395e+00 1.220003541685140913e+00 -3.788121803517872763e+02 -3.775980373730294559e+02 -3.785476817055300103e+02 -2.858138124630380528e-01 -4.110058234848765757e-01
2.950000000000000000e+01 5.099076781948931547e+00 5.104211637406659285e+00 1.376380887825250088e-01 -3.893166744181549461e+02 -3.782427690467018238e+02 -3.773502731023355068e+02 -6.305286203983857529e-01 -7.155692661554805545e-01
1.250000000000000000e+01 1.814598170999017768e+01 1.783695781654901324e+01 2.140667209146727590e+00 -5.376638197610876659e+02 -3.775725084022338365e+02 -3.757638594316381955e+02 -1.413923904491408257e+00 -9.563598639754369302e-01
2.000000000000000000e+01 9.406910462898498082e+00 9.374195878384067981e+00 1.709202967433963272e+00 -4.228467883331200028e+02 -3.819931136440307569e+02 -3.809978221826825120e+02 -1.115065560894822116e+00 -8.109215773566442742e-01
3.350000000000000000e+01 4.099728655865602533e+00 4.099478682237888805e+00 2.872922346562860607e-01 -3.805892674221560696e+02 -3.742611375916662269e+02 -3.736096212417208449e+02 -6.682889386762952411e-01 -7.063742813610772719e-01
4.300000000000000000e+01 1.609576273058523688e+00 1.609652287884569155e+00 3.939072815126712923e-01 -3.784609300910645970e+02 -3.785034261515676803e+02 -3.780187473644778606e+02 -2.195692184117921664e-01 -3.647370786722003433e-01
2.000000000000000000e+00 5.731952466770341204e+01 5.378260714971981571e+01 1.155217460898706250e+01 -2.015448727842636345e+03 -3.844574429863135379e+02 -3.776810337678641076e+02 -2.072232386092296874e+00 -1.484073590991487945e+00
2.450000000000000000e+01 7.804869110554180978e+00 7.804337520332381040e+00 1.112686575880753814e+00 -4.127218891849640272e+02 -3.845312173470308608e+02 -3.829870530201845895e+02 -8.810496626122552577e-01 -8.066371397319502812e-01
3.700000000000000000e+01 3.646868572181143797e+00 3.647251405996174700e+00 2.452657820091114771e-01 -3.794010443169746054e+02 -3.740899870326505265e+02 -3.737420562871214997e+02 -6.530939880324404534e-01 -4.682834302429679796e-01
1.600000000000000000e+01 1.516811223027679745e+01 1.524750105560221414e+01 1.368574593815267804e+00 -4.920011298900967631e+02 -3.803589414077620177e+02 -3.789507197851623914e+02 -1.207582239014935999e+00 -8.738371589479803081e-01
6.500000000000000000e+00 3.073380959824977765e+01 3.055214009110303763e+01 6.480795735455420647e+00 -8.458200207068304053e+02 -3.792600953410575926e+02 -3.762902290719663938e+02 -1.759277370776730631e+00 -1.135961753937603236e+00
4.750000000000000000e+01 2.149221030432630020e+00 2.149122749450885994e+00 1.114132103018456776e+00 -3.787709471100568521e+02 -3.771086643554836542e+02 -3.783080939315549358e+02 -3.247152950395016391e-01 -3.837082604008464903e-01
2.850000000000000000e+01 5.455437133630802293e+00 5.464797737064777117e+00 -8.130307513283306919e-01 -3.937473498664846829e+02 -3.809211447107831532e+02 -3.802402434733111249e+02 -6.836185706575073073e-01 -6.810516117106473200e-01
1.350000000000000000e+01 1.571198521810892501e+01 1.578234959844562901e+01 1.066188753365245212e+00 -4.953043566754736275e+02 -3.771214202378298523e+02 -3.755306976371848577e+02 -1.354275507617206387e+00 -9.814874088295535426e-01
3.250000000000000000e+01 4.238496292069253712e+00 4.238063113882926558e+00 4.049775318447141337e-01 -3.817627999463924198e+02 -3.748144507178780032e+02 -3.742776014503481292e+02 -5.959072718007292213e-01 -7.294194061438039611e-01
2.100000000000000000e+01 8.863177289871769560e+00 8.864691007369110309e+00 2.128525922495648981e+00 -4.187743929692525171e+02 -3.821378429128178027e+02 -3.809659782536600687e+02 -1.066794148836121892e+00 -7.334111781765458860e-01
