# start_time, SNRtot_MF, SNR220_MF, SNR221_MF, evidence220_221, evidence220, evidence221, nofilter
7.000000000000000000e+00 1.461348431980527778e+02 1.236566366295564592e+02 2.580975386371021330e+01 -3.919733567689809774e+02 -4.033596077783674332e+02 -4.370378239532035991e+02 -1.106434833958035597e+04
3.100000000000000000e+01 1.239820187278623287e+01 1.238207601819149239e+01 4.112295602098031133e-01 -3.900162022191312303e+02 -3.894865746149053507e+02 -3.940905513294223397e+02 -4.638497234085821219e+02
3.600000000000000000e+01 9.445838404928586840e+00 9.437181872582822706e+00 6.501596131997011696e-01 -3.940376669897887609e+02 -3.946202330216797804e+02 -3.975861867127549658e+02 -4.359095080464572902e+02
0.000000000000000000e+00 3.593414579161458846e+02 2.210746685358120658e+02 1.514867893691386200e+02 -3.902624919076650940e+02 -1.357626233104958601e+03 -7.137955253509038585e+02 -6.494739121870165400e+04
3.800000000000000000e+01 6.767527156283505541e+00 6.765676123209646065e+00 -4.621249775658790027e-01 -3.957065428700267375e+02 -3.975513363679958729e+02 -4.010032183112036250e+02 -4.161708968729336107e+02
4.400000000000000000e+01 5.584465166654656976e+00 5.583853115431775649e+00 2.911638569312557379e-01 -3.914383987043573825e+02 -3.927562923999272471e+02 -3.938471491844377965e+02 -4.047056654959258140e+02
9.500000000000000000e+01 -3.179641749930431360e-01 -3.179641435792810999e-01 -7.672590485186466802e-01 -3.986142909974519171e+02 -3.994293724412194706e+02 -4.003985538654334277e+02 -4.011953821122974659e+02
9.000000000000000000e+00 9.958408041910033148e+01 9.143924992691535181e+01 1.118613182178152776e+01 -3.931713660539759303e+02 -3.960328142647157961e+02 -4.329536465058523049e+02 -5.344480265545140355e+03
4.300000000000000000e+01 4.749875044129023394e+00 4.749077167491499551e+00 -1.509566385695149560e+00 -3.926574702417446474e+02 -3.947745644566210217e+02 -3.978113339904420513e+02 -4.044600033413271944e+02
9.200000000000000000e+01 1.367236941246462445e-01 1.367237437336561445e-01 -1.633639496434197813e+00 -3.970515545517499163e+02 -3.994585637673495739e+02 -3.995952806810095126e+02 -4.014760433388943284e+02
7.600000000000000000e+01 1.529197982809590295e-01 1.529193969274900422e-01 6.664601514441765850e-01 -3.987247687456678591e+02 -3.999148824293706639e+02 -4.001746348417125887e+02 -3.998230614377552570e+02
7.100000000000000000e+01 1.279172891376658461e+00 1.279172731538456009e+00 2.448002325646047028e-01 -3.973399510461428576e+02 -3.976234274335296277e+02 -3.975602316538523269e+02 -3.971210052274814188e+02
7.800000000000000000e+01 4.020614770275230954e-01 4.020613875923672587e-01 1.663522842800596591e-01 -3.998347939151834112e+02 -4.014009385883149434e+02 -4.013404901213656331e+02 -4.015552261445450313e+02
6.900000000000000000e+01 1.156996789165705808e+00 1.156995965081920374e+00 3.914286434633647560e-01 -3.936982731310546910e+02 -3.926613820621845434e+02 -3.933250828934143897e+02 -3.920999547668248510e+02
1.500000000000000000e+01 6.149089271790095523e+01 5.911814208552689820e+01 3.987492131351589197e+00 -3.910762272542226583e+02 -3.928356698660092547e+02 -4.175463658666812989e+02 -2.276440224302818933e+03
1.200000000000000000e+01 8.931301381545920037e+01 8.396514906532938483e+01 6.864208955373956478e+00 -3.919831091561162566e+02 -3.926784848521361937e+02 -4.224784412793308093e+02 -4.374273633228083781e+03
6.000000000000000000e+01 1.891650757632966195e+00 1.891620538449149125e+00 1.770248214414927412e+00 -3.923332109664506220e+02 -3.921471253729980617e+02 -3.922183676614876617e+02 -3.943141574018664528e+02
6.700000000000000000e+01 1.096091011907424306e+00 1.096089816503733383e+00 2.190994626702515991e-01 -3.921018852638038084e+02 -3.915593713203473385e+02 -3.917519629726072026e+02 -3.909737682323187187e+02
8.300000000000000000e+01 -1.955121498906739197e-01 -1.955119141266074279e-01 -8.019593124219650537e-01 -3.977191459823881701e+02 -3.985389422519089067e+02 -3.991194577907697862e+02 -3.996443799095502527e+02
5.200000000000000000e+01 1.014186389947125733e+00 1.014303066456565983e+00 -2.479121606443570158e+00 -3.916854545144863096e+02 -3.937538878090649632e+02 -3.929981497856911119e+02 -3.964100697544583340e+02
2.900000000000000000e+01 1.688702533410137718e+01 1.683045682570562107e+01 1.778451032373374430e+00 -3.899727911395354454e+02 -3.906425287879930579e+02 -3.946711845306602413e+02 -5.312853730701085624e+02
8.400000000000000000e+01 -3.571277291707130042e-01 -3.571276524404045638e-01 -3.538594688430203861e-01 -3.975579484255191005e+02 -3.988795408517108854e+02 -3.995563515299614892e+02 -3.998410167850063885e+02
5.500000000000000000e+01 1.046299686884147651e+00 1.046286299469462833e+00 -8.504717085309820845e-01 -3.937700079357456389e+02 -3.952279760036332164e+02 -3.952450114703719919e+02 -3.958509888556662872e+02
2.700000000000000000e+01 2.407750466115659194e+01 2.397323450349298923e+01 1.883905505804314595e+00 -3.867549363647388532e+02 -3.886628770349961997e+02 -3.925747596113368445e+02 -6.756579083403621553e+02
2.000000000000000000e+01 4.409563996772897099e+01 4.339454821599837686e+01 1.804544648385904670e+00 -3.874908684063739770e+02 -3.901114092659473727e+02 -4.044363606910676481e+02 -1.356719110433556352e+03
7.900000000000000000e+01 -2.293526412533065661e-01 -2.293527724976207327e-01 -3.476793966597576009e-04 -3.985039421805020652e+02 -3.999009513505401969e+02 -4.000096046190687957e+02 -4.001626546736907812e+02
7.000000000000000000e+01 1.232690048972852503e+00 1.232689700453408088e+00 2.628002359337260896e-01 -3.965972670280543753e+02 -3.954709201806794567e+02 -3.965057861756672537e+02 -3.946524840224795412e+02
7.700000000000000000e+01 2.289623192674763719e-01 2.289620665547416334e-01 5.446150187575118373e-01 -3.990313668405210592e+02 -3.999771274521425539e+02 -4.004570563478279723e+02 -3.998926136062162300e+02
8.000000000000000000e+00 1.189793256641442269e+02 1.049255265374982002e+02 1.745582568135895229e+01 -3.920184833509902091e+02 -3.985060676826474833e+02 -4.362022778586268146e+02 -7.464235190235289338e+03
