# SNRtot, SNR221_res, SNR221, evidence220_221, evidence220, evidence221, nofilter
4.297172086143093983e-01 4.297157811707362773e-01 2.817448503157557646e-06 1.196884296858215713e+01 1.195036733980477450e+01 1.195535324323736681e+01 1.189807266936502650e+01
2.532633327534971102e+01 2.495827430718543027e+01 4.176595025985018750e-01 8.963289449234574491e+00 7.529726110250262394e+00 9.391880506819965113e-01 -3.087211774779883626e+02
5.993531984613580388e-01 5.993527519109190793e-01 3.979319643690904826e-06 1.195038832536004492e+01 1.191284105906529156e+01 1.192208952584150516e+01 1.181078898080173367e+01
5.027585671337671158e+01 4.723416974753506992e+01 3.707924419410769445e+00 7.603344167149793442e+00 5.602018931292072956e+00 -7.560446089362526934e+00 -1.251840483022938542e+03
2.611019530122706556e+01 2.565048531977857493e+01 6.550438356577281684e-01 8.692260238123129312e+00 7.172784700839035743e+00 -6.409004374339639654e-01 -3.288807482250552994e+02
1.885881431915429829e+01 1.863642385481200137e+01 2.810400173712506722e-01 9.337859149845833429e+00 7.993132039044575698e+00 2.071319614757698435e+00 -1.658370376531149191e+02
1.352757930770863126e+01 1.347945501604714025e+01 7.294630334546388373e-02 9.726044807362141498e+00 8.405122400020616169e+00 4.331455786456076318e+00 -7.950729985411871326e+01
6.617293283479354082e-01 6.617243888622951209e-01 1.503462845890662311e-05 1.192785876551804947e+01 1.188330130777079852e+01 1.188550562684068623e+01 1.177145825705675897e+01
5.191947965136387011e-02 5.191948032268346030e-02 6.488364346331077884e-09 1.198958192211943086e+01 1.198967847812520837e+01 1.198946950274650902e+01 1.198905329287103072e+01
9.117358683301888256e-01 9.117224053722940980e-01 2.107463477322917708e-05 1.190917399631817375e+01 1.182569190617839361e+01 1.185355688750290426e+01 1.157476996225476285e+01
6.812114471311346564e-02 6.812114271527770770e-02 7.882324582181345030e-09 1.198947439738656762e+01 1.198937564961438618e+01 1.198930924596663594e+01 1.198808086387615113e+01
1.642138600364055234e+00 1.642039485447791325e+00 1.457312472099775772e-04 1.174379794809460442e+01 1.149706769521840499e+01 1.155353845544497027e+01 1.064209151765185446e+01
9.872926064552978165e-02 9.872925876051241723e-02 4.651102676715521947e-08 1.198846281460830454e+01 1.198787937727454711e+01 1.198766407364834308e+01 1.198552737560085824e+01
