# format=SNRtot_MF, ln(BF)
4.406232970099883239e+00 8.828630809764774767e+00
4.391223657640566991e+00 5.530622063775979314e+00
5.086562813893342749e+00 8.849306671351484965e+00
4.786965937423359740e+00 9.163374588000692711e+00
5.080837654330246700e+00 1.015640957533543087e+01
4.518858742456679067e+00 6.682848671333772472e+00
2.633024020354489902e+00 2.293524580379937561e+00
4.880792123617223588e+00 9.633224895955834199e+00
6.299034286743805389e+00 1.494046415330592481e+01
5.204245753188505574e+00 1.073963443349686031e+01
4.328669816627816580e+00 6.960464285340151491e+00
4.908759608262185381e+00 8.788254530459880698e+00
3.995115878633586970e+00 5.830703610724924602e+00
4.600270491798121419e+00 6.587202591589743861e+00
5.556447994002696511e+00 1.537837511915142841e+01
4.680195675900229446e+00 1.123561634748477900e+01
6.584332252124911022e+00 2.274185321708830543e+01
3.070693217917745077e+00 1.768671919387429625e+00
4.119792368014578265e+00 6.753072211889332266e+00
4.306207244416458302e+00 6.917033323119426313e+00
3.330072797871029167e+00 2.987178411157344726e+00
5.003284180846199192e+00 1.001379696204162428e+01
6.192321208920342102e+00 1.576444716893161058e+01
5.822173968494642082e+00 1.549511287853738395e+01
4.996229182234748656e+00 7.002672074611382413e+00
5.185808385867365367e+00 1.059492982084594814e+01
5.698956510811498788e+00 1.341996654235788355e+01
3.316824483714152727e+00 4.595870716580009230e+00
5.371793070920523050e+00 1.200317138832122055e+01
4.108899097067792106e+00 7.587269204858102967e+00
3.199322611953903994e+00 3.115056356430045525e+00
6.244102615920571253e+00 1.587501143122364056e+01
4.770003482437782161e+00 1.093882935230220710e+01
5.496468303050487059e+00 1.163572104492186554e+01
5.701595334361852174e+00 1.150941510906625354e+01
2.978586046832889078e+00 3.310393633157332260e+00
4.614227189804048557e+00 1.008118429241818603e+01
4.214011760890471692e+00 6.617683578961759849e+00
6.148127640992138154e+00 1.816262538747577082e+01
5.296732660764286393e+00 1.110679643471149802e+01
4.606588121414672443e+00 7.627862790991002839e+00
5.213892589632874497e+00 1.025490956460470215e+01
4.325141918858903090e+00 4.204593867330117973e+00
4.433420441955403746e+00 9.088540148316440082e+00
5.352279175493809049e+00 1.239136148132541848e+01
5.902418277653557865e+00 1.395433341055564824e+01
6.348720494033853079e+00 1.933557969900874696e+01
6.138785538993015933e+00 1.481486437772997533e+01
4.469962924656402770e+00 7.996878086046422140e+00
5.850458130256720679e+00 1.323282178788548435e+01
6.411878650030947036e+00 1.683089436990110244e+01
4.874862950326925848e+00 9.091858837240408775e+00
4.073731787097421453e+00 6.100453688541620068e+00
4.793725297084846737e+00 9.949277905082965390e+00
3.928113022591649628e+00 3.150384711861931919e+00
3.885088277394281420e+00 6.417586344277992794e+00
4.219975622014564109e+00 6.195861550198515033e+00
4.285926651924814479e+00 6.621723090485261309e+00
4.645216663290009151e+00 8.555363383133794741e+00
1.665655333850224240e+00 8.748072332899141657e-01
4.978705261872881316e+00 1.047710656210477964e+01
5.116224017496748822e+00 9.104005318297140548e+00
6.629217820928032801e+00 1.800083854077990964e+01
5.282773855961345966e+00 9.599423214507282864e+00
4.500013127672398028e+00 1.038671484866210903e+01
5.366366232758911892e+00 1.118823314561586812e+01
5.034609399707997035e+00 8.024845785313118540e+00
5.723153524223214106e+00 1.298118902530563901e+01
7.439584392493838294e+00 2.690372573171674730e+01
4.177549818673004012e+00 7.024732826784997997e+00
5.267649561267328195e+00 1.124073591717041154e+01
5.012107578989406953e+00 1.405523564191446440e+01
4.768649213249397611e+00 8.297078114711780472e+00
4.971542374930510988e+00 1.015733567613159494e+01
3.082282483383643079e+00 3.830870775466848954e+00
6.284303450912200439e+00 1.719349181933733917e+01
5.494245848967664436e+00 1.387679927159558702e+01
7.519076987842561621e+00 2.757068771143860886e+01
5.670427558400852774e+00 1.202844265458384143e+01
5.669729526365307137e+00 1.239840203248104444e+01
4.468188446755801735e+00 6.893109380554165000e+00
5.002390715283427269e+00 1.124426998705268943e+01
3.656161634587879572e+00 4.354250220761514356e+00
6.579546748904181008e+00 1.911187925540087917e+01
5.285568464737395722e+00 1.212442136793617919e+01
5.298251999972054982e+00 1.206192227475929712e+01
7.036194968341829004e+00 2.041871145920265462e+01
4.015270146825850262e+00 4.791844293040185221e+00
3.602374030736770649e+00 3.515984898259262081e+00
5.816649862628713308e+00 1.198001636692947613e+01
3.563876482546099123e+00 6.372494556784715769e+00
6.828749039660268139e+00 2.513626644731994020e+01
5.227875091674791364e+00 1.089438865006468404e+01
4.366723338266004895e+00 9.149413087905827524e+00
4.328370017127246783e+00 9.373248877797379919e+00
7.059710648441179792e+00 2.142118526342477480e+01
5.502674805380665113e+00 1.239074126691571109e+01
5.575292178586040315e+00 1.276605531319336251e+01
6.654988594396894719e+00 1.805264588793346547e+01
5.719596247623508489e+00 9.896400535378404584e+00
6.400925500680610725e+00 1.836918099880142563e+01
4.188602952657570100e+00 6.481333062595751926e+00
6.353514504256554396e+00 1.602961624658087203e+01
2.913057273577608353e+00 2.656678994835601770e+00
4.125377693989078054e+00 7.288047039371747360e+00
4.390357561871131686e+00 6.974774570499846504e+00
4.535899523917890974e+00 7.041526714159999756e+00
4.175682181067818632e+00 7.951720610896472863e+00
5.038024542004576389e+00 1.076287119585822438e+01
4.723825304550746118e+00 8.794154731031596839e+00
4.338265921224834010e+00 7.090356460459133814e+00
5.667645952398641995e+00 1.104279281956769410e+01
4.127949334643139068e+00 8.704716443727534170e+00
5.926713664956385408e+00 1.510542818749365779e+01
5.479933277540095737e+00 1.420655869659555037e+01
4.823138969553871114e+00 8.266470251641635514e+00
6.561170697518156736e+00 1.820533687892111629e+01
5.861440731728395193e+00 1.313853008047993853e+01
5.120156097275927465e+00 1.200145069862895753e+01
2.848004483202078330e+00 1.507026218742282708e+00
6.018595013979625818e+00 1.523202566969223426e+01
3.440060308242644638e+00 2.772280976797333096e+00
5.520438543228405770e+00 1.715883878769676585e+01
2.710457216364852595e+00 2.040015608561247973e+00
4.240175613382247910e+00 4.878266338707817340e+00
4.731043691837385268e+00 9.841306991015414951e+00
4.765586015589364344e+00 8.298441112169882672e+00
5.361643740209500741e+00 1.213129230345492715e+01
4.441289332143971258e+00 9.280951438270164999e+00
4.463170173010718500e+00 7.780874386888797289e+00
5.659509821821160358e+00 9.719575149406637138e+00
5.736903457230321024e+00 1.303504830312232343e+01
5.772906404592281326e+00 1.398536752705092567e+01
5.079826584538073675e+00 8.414996665104808926e+00
5.874600102233208609e+00 1.499959176344862044e+01
6.226321176994249917e+00 1.511375710379007842e+01
3.958966165487112221e+00 4.537839421863282041e+00
5.617400002252645130e+00 1.177993462139221492e+01
6.511404043044186629e+00 1.560890836281294014e+01
4.057496238810069933e+00 7.057324181411445352e+00
4.641340324435872411e+00 5.730978064396822447e+00
5.460599190859561247e+00 1.092921543321051558e+01
4.698731861759287476e+00 7.817376358643798540e+00
4.348366098162831150e+00 7.249002989383996010e+00
5.401733585965582840e+00 1.154797644505504195e+01
6.711434842014642577e+00 1.974231754253457893e+01
5.465738945725995279e+00 1.184045702814876222e+01
5.061419703550846805e+00 1.027151241517071867e+01
6.418485816865926452e+00 1.776244970154942848e+01
6.887539563332644832e+00 2.086018038363516780e+01
4.622424443257095561e+00 7.765656232301751061e+00
