# format=SNRtot_MF, evidence_inj, evidence_filt, nofilter]
1.204538265900171901e+01 -3.937715555487305892e+02 -3.952106325024974467e+02 -4.650926465397963057e+02
1.337611589616903096e+01 -4.120912573625348045e+02 -4.136161443583828827e+02 -5.003045414624709792e+02
1.176336022387980940e+01 -3.968771613783778207e+02 -4.008867523241946174e+02 -4.644616742120460344e+02
1.080513906856898387e+01 -3.651320234331649317e+02 -3.676595175945521987e+02 -4.208990656028818194e+02
9.174406932823021776e+00 -3.746448515904994565e+02 -3.767167854277491301e+02 -4.127644235133558936e+02
1.167525702195574411e+01 -3.922405845259376065e+02 -3.962810345941259698e+02 -4.545513429982632374e+02
9.772489100954654617e+00 -4.333963252779914797e+02 -4.387869743499189781e+02 -4.796642486945977453e+02
1.130175111661718113e+01 -3.801885925741822234e+02 -3.834657763788657121e+02 -4.406443453583025303e+02
1.183441560179780438e+01 -3.601643863078609797e+02 -3.624638212434698517e+02 -4.269605637804793332e+02
1.211866762679281351e+01 -3.819820217271624188e+02 -3.837625627719524459e+02 -4.513380408066427094e+02
1.206496978587754221e+01 -3.965317285542495256e+02 -3.965998956645278781e+02 -4.621605299617752962e+02
1.297468247495289084e+01 -3.920935208376656647e+02 -3.982682860762595851e+02 -4.736207889534524043e+02
1.131151500460543424e+01 -3.842711246724647935e+02 -3.899054402166073032e+02 -4.444146812415850150e+02
1.284710193356661101e+01 -3.705963789080513493e+02 -3.725105559781449074e+02 -4.486328688284722261e+02
1.226807296128378333e+01 -4.276104762719510859e+02 -4.313906782584300004e+02 -5.001531925641995713e+02
1.030582447138870172e+01 -4.079737264211744900e+02 -4.087662613445146462e+02 -4.611257041664857752e+02
1.034487839389872832e+01 -4.025904737584086206e+02 -4.077340770813920585e+02 -4.544391328436342405e+02
1.106193235316779777e+01 -3.940102690569477204e+02 -3.953369070412889528e+02 -4.507792669104982224e+02
1.354543036341184958e+01 -3.792508288851522025e+02 -3.805042367473459990e+02 -4.671924754514409983e+02
1.195492541976467926e+01 -4.058167457200324293e+02 -4.071310747824189207e+02 -4.719775678064603426e+02
1.054074469414948290e+01 -4.118997019063106677e+02 -4.140599527933405284e+02 -4.636184531109441309e+02
1.140104079282979654e+01 -3.715513384630004907e+02 -3.718604111699386294e+02 -4.296080935717810689e+02
1.230144080554969754e+01 -3.872384759705126953e+02 -3.902537129647703864e+02 -4.581315911190303609e+02
1.073463892928573316e+01 -4.090688839331405120e+02 -4.115651217735940008e+02 -4.666425546419715147e+02
1.211909098693810449e+01 -4.100403826865609744e+02 -4.108482656389557519e+02 -4.793010743861520950e+02
1.148728062450804011e+01 -3.815205365716810775e+02 -3.840103952495508679e+02 -4.430947317091220725e+02
1.191753813739304135e+01 -4.080975625831755451e+02 -4.103358529222820721e+02 -4.735546932404399740e+02
1.096882577068570264e+01 -4.037451769350485620e+02 -4.068820740786701435e+02 -4.617063542075508167e+02
1.128566900740615964e+01 -4.081534197050739863e+02 -4.116367293166253489e+02 -4.689193963085322139e+02
1.178082456675953971e+01 -3.958757207238953697e+02 -3.970613898622276565e+02 -4.607751771627255835e+02
1.317668482043041145e+01 -3.699158969569818396e+02 -3.760673739569269287e+02 -4.533325698383366102e+02
1.260974157679737750e+01 -4.319875852963947409e+02 -4.326419414121834279e+02 -5.093790239585122208e+02
1.061342733362653590e+01 -4.251615611075570769e+02 -4.241403553643913824e+02 -4.786856790997758822e+02
1.211400335738474077e+01 -4.345300499510344707e+02 -4.389845284205911184e+02 -5.042788624030896472e+02
1.117251661014862130e+01 -3.798086966558853419e+02 -3.854036403656801895e+02 -4.400911780512001883e+02
9.934960036650460680e+00 -4.359153382839254505e+02 -4.389880521539674305e+02 -4.810598548010448781e+02
1.162998819118517346e+01 -3.901315989792111623e+02 -3.918757852524968257e+02 -4.558510175524089050e+02
1.285519729691691282e+01 -4.166497143894127362e+02 -4.189530953028232716e+02 -4.964184891456104651e+02
1.250814876690010102e+01 -3.961333657622689088e+02 -3.981665861187026394e+02 -4.724370241685373344e+02
1.122876508874728430e+01 -3.753857339993994628e+02 -3.806349055065979314e+02 -4.360854761780552167e+02
1.166572341515723998e+01 -3.963011454742497222e+02 -3.956754362455877185e+02 -4.617843541537642409e+02
1.205511610919109877e+01 -3.894329928752354704e+02 -3.913896796359692871e+02 -4.589431289992048733e+02
1.113928565176628283e+01 -3.891046945521973726e+02 -3.911647888691709340e+02 -4.495227666862741103e+02
1.092837362874894502e+01 -3.704996013923583291e+02 -3.737997020111603774e+02 -4.282932291197088830e+02
1.187480232479478026e+01 -3.854211187278586408e+02 -3.876865516990091010e+02 -4.520065341386138016e+02
1.202673963046469474e+01 -3.922828753672021094e+02 -3.998865592159494895e+02 -4.632799353342391555e+02
1.307390236915057358e+01 -3.923307437264863324e+02 -3.980011421291056877e+02 -4.756295640346002642e+02
1.071226392991183651e+01 -4.186080226691178723e+02 -4.216452324442286681e+02 -4.720792930323376027e+02
1.066796660267338304e+01 -4.142232348827569695e+02 -4.156986748390549451e+02 -4.696415735416789516e+02
1.315729867922377494e+01 -3.887187136671357166e+02 -3.914985743099816773e+02 -4.740228827497682573e+02
1.161768776785428336e+01 -3.957386185559874434e+02 -3.987401460113958933e+02 -4.594577502707677468e+02
1.258314296037591618e+01 -4.121538387094844325e+02 -4.135183750951454158e+02 -4.903606626640539048e+02
1.114891692459702810e+01 -4.192577306615889938e+02 -4.218083702353479794e+02 -4.785483281884123130e+02
1.223446782527147114e+01 -3.669323576627994044e+02 -3.683702992002975520e+02 -4.403080925841177304e+02
1.057380056906194632e+01 -3.713366835976175935e+02 -3.726792810315798761e+02 -4.272812464174801335e+02
1.089752877400941600e+01 -3.949195209490559364e+02 -3.961547445698014371e+02 -4.524837678052176670e+02
